"gene","cna_type","eligibility_class","n_events","n_subjects","fraction_of_type_events","median_coding_fraction","median_affected_exons"
"CDKN2A","GAIN","partial_localizable_testable",2,2,1,0.667735042735043,1.5
"CDKN2A","GAIN","partial_localizable_but_untestable",0,0,0,,
"CDKN2A","GAIN","partial_noncontiguous_exons",0,0,0,,
"CDKN2A","GAIN","broad_structurally_unreliable",0,0,0,,
"CDKN2A","GAIN","whole_gene_evidence_only",0,0,0,,
"CDKN2A","HETDEL","partial_localizable_testable",34,32,0.178010471204188,0.667735042735043,1.5
"CDKN2A","HETDEL","partial_localizable_but_untestable",0,0,0,,
"CDKN2A","HETDEL","partial_noncontiguous_exons",0,0,0,,
"CDKN2A","HETDEL","broad_structurally_unreliable",0,0,0,,
"CDKN2A","HETDEL","whole_gene_evidence_only",157,157,0.821989528795812,1,3
"CDKN2A","HOMDEL","partial_localizable_testable",36,34,0.0501392757660167,0.320512820512821,1
"CDKN2A","HOMDEL","partial_localizable_but_untestable",0,0,0,,
"CDKN2A","HOMDEL","partial_noncontiguous_exons",0,0,0,,
"CDKN2A","HOMDEL","broad_structurally_unreliable",0,0,0,,
"CDKN2A","HOMDEL","whole_gene_evidence_only",682,682,0.949860724233983,1,3
"CDKN2A","ALL_CNA","partial_localizable_testable",72,46,0.0790340285400659,0.655982905982906,1
"CDKN2A","ALL_CNA","partial_localizable_but_untestable",0,0,0,,
"CDKN2A","ALL_CNA","partial_noncontiguous_exons",0,0,0,,
"CDKN2A","ALL_CNA","broad_structurally_unreliable",0,0,0,,
"CDKN2A","ALL_CNA","whole_gene_evidence_only",839,839,0.920965971459934,1,3
