seed,n_closest,n_sim,elapsed_sec,analysis_type,exon_orders,n_exons,n_subjects,n_events,diameter_1d,diameter_3d,p_1d_size,p_3d_size,p_1d_joint,p_3d_joint,p_any_joint,p_hotspot_omnibus,significant_1d,significant_3d,significant_any,hotspot_class
20260903,10,1000,446.55274105072,GAIN,5;6;7;8;9,5,5,5,4,10.9439491443034,0.898203592814371,0.766467065868264,0.988023952095808,0.834331337325349,0.834331337325349,0.834331337325349,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,6;7,2,4,4,1,4.75173994546044,0.932135728542914,0.900199600798403,0.996007984031936,0.988023952095808,0.988023952095808,0.988023952095808,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,7;8,2,4,4,1,4.89692143681749,0.932135728542914,0.908183632734531,0.996007984031936,0.99001996007984,0.99001996007984,0.99001996007984,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,5;6,2,4,4,1,5.57191681380018,0.932135728542914,0.930139720558882,0.996007984031936,0.994011976047904,0.994011976047904,0.994011976047904,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,3;5,2,3,3,2,4.73759090455041,0.992015968063872,0.986027944111776,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,8;9,2,3,3,1,5.24482666905714,0.992015968063872,0.988023952095808,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,1;2,2,2,3,1,5.5946553758111,0.980039920159681,0.980039920159681,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,3;4,2,3,3,1,6.64457565999414,0.992015968063872,0.992015968063872,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,3;4;5,3,3,3,2,6.64457565999414,0.992015968063872,0.992015968063872,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,6;7;8;9,4,4,4,3,9.22117879870951,0.952095808383233,0.944111776447106,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,7;8;9,3,4,4,2,9.22117879870951,0.93812375249501,0.944111776447106,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,1;2;3;4,4,4,5,3,16.3460643982555,0.952095808383233,0.958083832335329,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,1;2;3;4;5,5,4,5,4,16.3460643982555,0.958083832335329,0.958083832335329,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,1;2;3;4;5;6;7;8;9,9,6,7,8,28.8115114211029,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,GAIN,1,1,2,2,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,10,1000,446.55274105072,GAIN,3,1,2,2,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,10,1000,446.55274105072,GAIN,4,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,10,1000,446.55274105072,GAIN,5,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,10,1000,446.55274105072,GAIN,6,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,10,1000,446.55274105072,GAIN,7,1,4,4,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,10,1000,446.55274105072,GAIN,8,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,10,1000,446.55274105072,GAIN,9,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
20260903,10,1000,446.55274105072,HETDEL,1;2;3;4,4,77,83,3,16.3460643982555,0.0019960079840319,0.0199600798403194,0.0039920159680638,0.0179640718562874,0.0039920159680638,0.0039920159680638,True,True,True,Exon-local CNA hotspot also compact in structure
20260903,10,1000,446.55274105072,HETDEL,3;4,2,71,73,1,6.64457565999414,0.0019960079840319,0.0578842315369262,0.0039920159680638,0.063872255489022,0.0039920159680638,0.0039920159680638,True,False,True,Exon-order hotspot without independent 3D enrichment
20260903,10,1000,446.55274105072,HETDEL,1;2;3;4;5,5,77,83,4,16.3460643982555,0.0199600798403194,0.0199600798403194,0.0179640718562874,0.0179640718562874,0.0179640718562874,0.0179640718562874,True,True,True,Exon-local CNA hotspot also compact in structure
20260903,10,1000,446.55274105072,HETDEL,3;5,2,71,73,2,4.73759090455041,0.0578842315369262,0.029940119760479,0.063872255489022,0.0479041916167665,0.0479041916167665,0.0479041916167665,False,True,True,Nonlocal 3D-specific exon CNA hotspot
20260903,10,1000,446.55274105072,HETDEL,3;4;5,3,71,73,2,6.64457565999414,0.0578842315369262,0.0578842315369262,0.063872255489022,0.063872255489022,0.063872255489022,0.063872255489022,False,False,False,Weak clustering evidence
20260903,10,1000,446.55274105072,HETDEL,8;9,2,39,39,1,5.24482666905714,0.193612774451098,0.18562874251497,0.666666666666667,0.55688622754491,0.55688622754491,0.55688622754491,False,False,False,Weak clustering evidence
