"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0022",0,1,"cluster_0022",0,1
3,"cluster_0020",0,0.828685258964143,"cluster_0020",0,0.828685258964143
4,"cluster_0015",0,0.211155378486056,"cluster_0015",0,0.211155378486056
5,"cluster_0018",4,0.51792828685259,"cluster_0018",8.70118089686682,0.645418326693227
6,"cluster_0001",0,0.0956175298804781,"cluster_0001",0,0.0956175298804781
7,"cluster_0002",2,0.0956175298804781,"cluster_0002",6.01881142751623,0.0956175298804781
8,"cluster_0012",7,0.0956175298804781,"cluster_0012",19.8884561743741,0.99601593625498
9,"cluster_0003",8,0.0956175298804781,"cluster_0003",10.8276047212668,0.0956175298804781
11,"cluster_0004",14,0.0956175298804781,"cluster_0004",17.3730891035532,0.0956175298804781
13,"cluster_0011",24,0.0956175298804781,"cluster_0008",21.5980108574841,0.0956175298804781
14,"cluster_0010",52,0.0956175298804781,"cluster_0010",31.9796167738139,0.852589641434263
18,"cluster_0017",103,0.235059760956175,"cluster_0017",52.2636702308592,0.9800796812749
20,"cluster_0007",429,0.964143426294821,"cluster_0007",35.1638721132926,0.0956175298804781
31,"cluster_0009",176,0.0956175298804781,"cluster_0009",52.2636702308592,0.294820717131474
32,"cluster_0006",429,0.155378486055777,"cluster_0006",52.2636702308592,0.0956175298804781
35,"cluster_0005",445,0.0956175298804781,"cluster_0005",68.4787523615902,0.0956175298804781
38,"cluster_0019",702,1,"cluster_0019",80.4548237273565,0.589641434262948
