"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0012",0,1,"cluster_0012",0,1
3,"cluster_0008",0,0.88235294117647,"cluster_0008",0,0.88235294117647
4,"cluster_0002",1,0.647058823529412,"cluster_0002",3.8634365531221,0.647058823529412
5,"cluster_0010",5,0.88235294117647,"cluster_0010",10.7390200670266,0.980392156862745
6,"cluster_0055",26,1,"cluster_0047",19.1222392517194,1
7,"cluster_0045",64,1,"cluster_0045",19.1222392517194,1
8,"cluster_0005",14,0.647058823529412,"cluster_0005",24.8149722748183,1
9,"cluster_0006",26,0.686274509803922,"cluster_0006",24.8149722748183,1
10,"cluster_0068",135,1,"cluster_0068",63.6674991263203,1
12,"cluster_0067",146,1,"cluster_0061",37.2047040574173,1
15,"cluster_0003",90,0.823529411764706,"cluster_0003",30.4670553056904,0.647058823529412
16,"cluster_0069",227,1,"cluster_0069",63.6674991263203,1
20,"cluster_0007",482,0.980392156862745,"cluster_0007",54.9034382347772,0.823529411764706
27,"cluster_0004",250,0.647058823529412,"cluster_0004",92.4652733787123,0.686274509803922
28,"cluster_0001",482,0.941176470588235,"cluster_0001",80.4556137817617,0.509803921568627
42,"cluster_0011",586,1,"cluster_0011",123.021131595348,0.96078431372549
