"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0019",0,1,"cluster_0019",0,1
3,"cluster_0014",0,0.442231075697211,"cluster_0014",0,0.442231075697211
4,"cluster_0001",0,0.0756972111553785,"cluster_0001",0,0.0756972111553785
5,"cluster_0032",34,1,"cluster_0009",7.8782067756565,0.139442231075697
6,"cluster_0007",4,0.0756972111553785,"cluster_0007",10.1224179917646,0.139442231075697
7,"cluster_0002",9,0.0756972111553785,"cluster_0005",9.10653507103553,0.0756972111553785
8,"cluster_0017",86,1,"cluster_0017",23.2424791491786,0.952191235059761
12,"cluster_0006",147,0.98804780876494,"cluster_0006",15.3793277811483,0.0756972111553785
13,"cluster_0003",43,0.0756972111553785,"cluster_0003",24.3327664888315,0.0756972111553785
14,"cluster_0011",88,0.219123505976096,"cluster_0011",35.4998671265119,0.649402390438247
18,"cluster_0004",147,0.123505976095618,"cluster_0004",29.673820785332,0.0756972111553785
19,"cluster_0013",177,0.398406374501992,"cluster_0013",42.6209890664213,0.641434262948207
20,"cluster_0015",222,0.525896414342629,"cluster_0015",45.207812433251,0.442231075697211
