"protein","plddt_threshold","earliest_persistent_significance_match","reference_n_significant","interpretation"
"EZH2",0,100,0,"Trivial agreement: no significant clusters in the 1,000-trial reference"
"EZH2",70,1000,25,"First trial count whose significance set matches 1,000 trials and remains matched"
"EZH2",90,600,9,"First trial count whose significance set matches 1,000 trials and remains matched"
"LEF1",0,900,9,"First trial count whose significance set matches 1,000 trials and remains matched"
"LEF1",70,900,6,"First trial count whose significance set matches 1,000 trials and remains matched"
"LEF1",90,900,1,"First trial count whose significance set matches 1,000 trials and remains matched"
"PTEN",0,100,0,"Trivial agreement: no significant clusters in the 1,000-trial reference"
"PTEN",70,100,0,"Trivial agreement: no significant clusters in the 1,000-trial reference"
"PTEN",90,100,0,"Trivial agreement: no significant clusters in the 1,000-trial reference"
"SUZ12",0,100,0,"Trivial agreement: no significant clusters in the 1,000-trial reference"
"SUZ12",70,100,0,"Trivial agreement: no significant clusters in the 1,000-trial reference"
"SUZ12",90,1000,2,"First trial count whose significance set matches 1,000 trials and remains matched"
"TP53",0,800,11,"First trial count whose significance set matches 1,000 trials and remains matched"
"TP53",70,700,6,"First trial count whose significance set matches 1,000 trials and remains matched"
"TP53",90,900,6,"First trial count whose significance set matches 1,000 trials and remains matched"
