"reference_run","comparison_run","reference_cluster_id","comparison_cluster_id","shared_residues","union_residues","jaccard","dice","overlap_coefficient","reference_recall","comparison_precision","size_difference","left_boundary_shift","right_boundary_shift","centroid_shift","reference_p_any","comparison_p_any","delta_p_any","log10_p_ratio","reference_significant","comparison_significant","significance_flip","protein","n_sim","plddt_threshold"
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0001","cluster_0004",4,4,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0002","cluster_0005",7,7,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0003","cluster_0007",17,17,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0004","cluster_0006",15,15,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0005","cluster_0008",3,3,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0006","cluster_0009",7,7,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0007","cluster_0011",5,5,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0008","cluster_0002",3,3,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0009","cluster_0012",18,18,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0010","cluster_0013",9,9,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0011","cluster_0014",20,20,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.333333333333333,0.313373253493014,1.22271647114758,TRUE,FALSE,TRUE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0012","cluster_0001",1,1,1,1,1,1,1,0,0,0,0,0.0598802395209581,0.333333333333333,0.273453093812375,0.745595216427921,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0013","cluster_0003",3,3,1,1,1,1,1,0,0,0,0,0.0598802395209581,0.333333333333333,0.273453093812375,0.745595216427921,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0014","cluster_0010",3,3,1,1,1,1,1,0,0,0,0,0.115768463073852,0.333333333333333,0.217564870259481,0.459288477584646,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0015","cluster_0016",4,4,1,1,1,1,1,0,0,0,0,0.115768463073852,0.568627450980392,0.45285898790654,0.691237554105328,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0016","cluster_0015",1,1,1,1,1,1,1,0,0,0,0,0.253493013972056,0.568627450980392,0.315134437008336,0.350861826712309,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0017","cluster_0017",8,8,1,1,1,1,1,0,0,0,0,0.518962075848303,0.568627450980392,0.0496653751320888,0.0396921996974475,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0018","cluster_0019",2,2,1,1,1,1,1,0,0,0,0,0.798403193612774,0.92156862745098,0.123165433838206,0.0623054163770644,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0019","cluster_0018",2,2,1,1,1,1,1,0,0,0,0,0.838323353293413,0.92156862745098,0.0832452741575672,0.0411161173071264,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0020","cluster_0020",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0021","cluster_0021",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0022","cluster_0022",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0023","cluster_0023",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0024","cluster_0024",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0025","cluster_0025",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0026","cluster_0026",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0027","cluster_0027",3,3,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
"TP53_trials1000_plddt0","TP53_trials100_plddt0","cluster_0028","cluster_0028",2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,"TP53",100,0
