"protein","plddt_threshold","n_sim","reference_n_sim","n_clusters","n_significant","reference_n_significant","mean_absolute_p_difference","median_absolute_p_difference","root_mean_square_p_difference","maximum_absolute_p_difference","pvalue_spearman","significance_agreement","significance_flips","exact_significance_set_match"
"EZH2",0,100,1000,110,0,0,0.161734285439815,0,0.263160517447664,0.451567453328637,0.982042763843346,1,0,TRUE
"EZH2",0,200,1000,110,0,0,0.0793739254164938,0,0.130225477464856,0.262247781664394,0.982468839435261,1,0,TRUE
"EZH2",0,300,1000,110,0,0,0.0923239613488256,0,0.153666228788716,0.266526549549907,0.985174427231708,1,0,TRUE
"EZH2",0,400,1000,110,0,0,0.0637969650928807,0,0.10582616725004,0.298060595227456,0.97789064792655,1,0,TRUE
"EZH2",0,500,1000,110,0,0,0.0314977433759789,0,0.0518215432763703,0.133167927094019,0.976778690893573,1,0,TRUE
"EZH2",0,600,1000,110,0,0,0.0180364128282245,0,0.0302847139941485,0.102791095549764,0.97608583678759,1,0,TRUE
"EZH2",0,700,1000,110,0,0,0.0120489401926528,0,0.0208760579326692,0.0767524779500827,0.987051306053673,1,0,TRUE
"EZH2",0,800,1000,110,0,0,0.00687299171776601,0,0.015055224105957,0.069571580031956,0.998348121900539,1,0,TRUE
"EZH2",0,900,1000,110,0,0,0.00382190668049107,0,0.0140499320292022,0.0830357024310581,0.998348121900539,1,0,TRUE
"EZH2",0,1000,1000,110,0,0,0,0,0,0,1,1,0,TRUE
"EZH2",70,100,1000,82,0,25,0.180491241333688,0,0.280721125391283,0.529881413643302,0.975785629446546,0.695121951219512,25,FALSE
"EZH2",70,200,1000,82,0,25,0.0768267859354944,0,0.121326845467424,0.214106440584178,0.975806658781545,0.695121951219512,25,FALSE
"EZH2",70,300,1000,82,0,25,0.064143720312565,0,0.103204467723828,0.221609760611228,0.975813672889791,0.695121951219512,25,FALSE
"EZH2",70,400,1000,82,0,25,0.0478725839184391,0,0.0782050951748129,0.247177287216612,0.983366665840741,0.695121951219512,25,FALSE
"EZH2",70,500,1000,82,0,25,0.0425467207650582,0,0.0683309119471212,0.179855428585061,0.985079243790361,0.695121951219512,25,FALSE
"EZH2",70,600,1000,82,0,25,0.0273337936395259,0,0.0467225741061595,0.153228426867196,0.984646661091694,0.695121951219512,25,FALSE
"EZH2",70,700,1000,82,0,25,0.0233832938667173,0,0.0379440142385891,0.114932528106181,0.987000479680745,0.695121951219512,25,FALSE
"EZH2",70,800,1000,82,0,25,0.0189693601058937,0,0.030230001179151,0.0762116664426757,0.994468507487422,0.695121951219512,25,FALSE
"EZH2",70,900,1000,82,0,25,0.0124804741282672,0,0.0203421205723762,0.0675234896061536,0.99719689899245,0.695121951219512,25,FALSE
"EZH2",70,1000,1000,82,25,25,0,0,0,0,1,1,0,TRUE
"EZH2",90,100,1000,45,0,9,0.106088476641488,0,0.171763855414976,0.319009040742045,0.9603262871611,0.8,9,FALSE
"EZH2",90,200,1000,45,0,9,0.0845306087494977,0,0.132648132003354,0.243295587043734,0.960203833875298,0.8,9,FALSE
"EZH2",90,300,1000,45,0,9,0.0500056546215883,0,0.0803886850549342,0.189462135331985,0.962364382955376,0.8,9,FALSE
"EZH2",90,400,1000,45,0,9,0.0229067569669947,0,0.036931205820621,0.101170792742872,0.972258592868064,0.8,9,FALSE
"EZH2",90,500,1000,45,0,9,0.0260382289869133,0,0.0418795161971748,0.103370947348331,0.984278844486823,0.8,9,FALSE
"EZH2",90,600,1000,45,9,9,0.010288172271183,0,0.0225874699022502,0.0848800737395641,0.997372988704422,1,0,TRUE
"EZH2",90,700,1000,45,9,9,0.00790479819089267,0,0.0190218473701918,0.0735963969496903,0.997372988704422,1,0,TRUE
"EZH2",90,800,1000,45,9,9,0.00818601090974051,0,0.0203667522069332,0.0820155200820305,0.996902817888256,1,0,TRUE
"EZH2",90,900,1000,45,9,9,0.00447510989354133,0,0.0100144522190926,0.0420046824311465,0.99952951323085,1,0,TRUE
"EZH2",90,1000,1000,45,9,9,0,0,0,0,1,1,0,TRUE
"LEF1",0,100,1000,50,0,9,0.0723588117881883,0,0.134284749706553,0.271809322531408,0.93746357969644,0.82,9,FALSE
"LEF1",0,200,1000,50,0,9,0.0501456492954685,0,0.0896607825173797,0.177130886741369,0.940543842397104,0.82,9,FALSE
"LEF1",0,300,1000,50,0,9,0.0189345811687882,0,0.0375814502157408,0.126092186487951,0.943615669786237,0.82,9,FALSE
"LEF1",0,400,1000,50,0,9,0.00947954836595466,0,0.0191713350349761,0.0684005124080198,0.958596363538406,0.82,9,FALSE
"LEF1",0,500,1000,50,0,9,0.00825249898609156,0,0.0163908155742736,0.0575979515073439,0.977947862371082,0.82,9,FALSE
"LEF1",0,600,1000,50,0,9,0.011021412324852,0,0.0207219525474289,0.0516773761447206,0.978833722731429,0.82,9,FALSE
"LEF1",0,700,1000,50,0,9,0.00998686387907945,0,0.019360715462982,0.0576453929747343,0.995318567555801,0.82,9,FALSE
"LEF1",0,800,1000,50,0,9,0.00931165101219009,0,0.017124951673865,0.0602386249944002,0.997518510071281,0.82,9,FALSE
"LEF1",0,900,1000,50,9,9,0.00109333439551053,0,0.00431768280613166,0.0212612469075154,1,1,0,TRUE
"LEF1",0,1000,1000,50,9,9,0,0,0,0,1,1,0,TRUE
