"analysis_type","coverage_threshold","coverage_threshold_percent","n_subjects","n_events","p_subjects_conditional","p_events_conditional","p_subjects_bonferroni","p_events_bonferroni","significant_subject_coverage","significant_event_coverage","subject_coverage_testable","event_coverage_testable","n_unique_null_subject_counts","n_unique_null_event_counts","subject_coverage_testability_reason","event_coverage_testability_reason","interpretation_scope","row_key"
"HOMDEL",0.5,50,698,698,0.0154984501549845,0.0354964503549645,0.247975202479752,0.567943205679432,FALSE,FALSE,TRUE,TRUE,39,40,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.500000"
"HOMDEL",0.75,75,687,687,0.0026997300269973,0.0061993800619938,0.0431956804319568,0.0991900809919008,TRUE,FALSE,TRUE,TRUE,46,45,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.750000"
"HOMDEL",0.9,90,687,687,0.0021997800219978,0.0046995300469953,0.0351964803519648,0.0751924807519248,TRUE,FALSE,TRUE,TRUE,46,46,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.900000"
"HOMDEL",1,100,682,682,0.0004999500049995,0.0006999300069993,0.007999200079992,0.0111988801119888,TRUE,TRUE,TRUE,TRUE,51,50,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|1.000000"
"HETDEL",0.5,50,176,176,0.990800919908009,0.993500649935007,1,1,FALSE,FALSE,TRUE,TRUE,18,19,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.500000"
"HETDEL",0.75,75,161,161,1,1,1,1,FALSE,FALSE,TRUE,TRUE,21,21,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.750000"
"HETDEL",0.9,90,161,161,1,1,1,1,FALSE,FALSE,TRUE,TRUE,21,21,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.900000"
"HETDEL",1,100,157,157,1,1,1,1,FALSE,FALSE,TRUE,TRUE,22,22,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|1.000000"
"GAIN",0.5,50,2,2,0.14948505149485,0.14948505149485,1,1,FALSE,FALSE,TRUE,TRUE,3,3,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|0.500000"
"GAIN",0.75,75,0,0,1,1,1,1,FALSE,FALSE,TRUE,TRUE,2,2,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|0.750000"
"GAIN",0.9,90,0,0,1,1,1,1,FALSE,FALSE,TRUE,TRUE,2,2,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|0.900000"
"GAIN",1,100,0,0,,,,,FALSE,FALSE,FALSE,FALSE,1,1,"invariant_null_subject_count","invariant_null_event_count","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|1.000000"
"ALL_CNA",0.5,50,876,876,9.99900009999e-05,0.252074792520748,0.0015998400159984,1,TRUE,FALSE,TRUE,TRUE,41,46,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.500000"
"ALL_CNA",0.75,75,848,848,0.0043995600439956,0.635736426357364,0.0703929607039296,1,FALSE,FALSE,TRUE,TRUE,50,50,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.750000"
"ALL_CNA",0.9,90,848,848,0.0033996600339966,0.593940605939406,0.0543945605439456,1,FALSE,FALSE,TRUE,TRUE,48,51,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.900000"
"ALL_CNA",1,100,839,839,0.0011998800119988,0.263273672632737,0.0191980801919808,1,TRUE,FALSE,TRUE,TRUE,51,54,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|1.000000"
