"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0032",0,1,"cluster_0032",0,1
3,"cluster_0031",0,1,"cluster_0031",0,1
4,"cluster_0036",0,1,"cluster_0036",0,1
5,"cluster_0050",3,1,"cluster_0050",10.0748245146007,1
6,"cluster_0044",12,1,"cluster_0044",6.03306041740011,1
7,"cluster_0049",7,1,"cluster_0049",10.0748245146007,1
8,"cluster_0058",85,1,"cluster_0058",25.0526885184006,1
12,"cluster_0001",0,0.0145970805838832,"cluster_0001",0,0.0145970805838832
13,"cluster_0006",1,0.0145970805838832,"cluster_0006",3.82146333228516,0.0145970805838832
14,"cluster_0028",4,0.0753849230153969,"cluster_0028",10.7317151471701,0.831433713257348
17,"cluster_0026",41,1,"cluster_0026",10.0277062681353,0.0481903619276145
18,"cluster_0025",7,0.022995400919816,"cluster_0025",15.144699699895,0.991601679664067
23,"cluster_0023",41,1,"cluster_0023",12.0919677058781,0.0145970805838832
24,"cluster_0005",0,0.0145970805838832,"cluster_0005",0,0.0145970805838832
25,"cluster_0027",25,0.99500099980004,"cluster_0027",15.144699699895,0.0579884023195361
26,"cluster_0022",19,0.23255348930214,"cluster_0022",7.99049723108644,0.0145970805838832
28,"cluster_0030",31,0.998400319936013,"cluster_0059",26.0332544642425,1
29,"cluster_0024",304,1,"cluster_0024",15.136832792893,0.0145970805838832
30,"cluster_0062",78,1,"cluster_0060",26.4020401863189,1
31,"cluster_0061",304,1,"cluster_0061",26.740799707563,1
39,"cluster_0063",304,1,"cluster_0063",41.9134592821924,1
44,"cluster_0004",0,0.0145970805838832,"cluster_0004",0,0.0145970805838832
45,"cluster_0011",2,0.0145970805838832,"cluster_0011",6.16041305433329,0.0145970805838832
62,"cluster_0003",0,0.0145970805838832,"cluster_0003",0,0.0145970805838832
63,"cluster_0007",1,0.0145970805838832,"cluster_0007",3.88799511316565,0.0145970805838832
64,"cluster_0009",24,0.0145970805838832,"cluster_0009",5.79352310774713,0.0145970805838832
65,"cluster_0013",3,0.0145970805838832,"cluster_0013",8.26162484018731,0.0145970805838832
129,"cluster_0002",0,0.0145970805838832,"cluster_0002",0,0.0145970805838832
130,"cluster_0008",2,0.0145970805838832,"cluster_0008",5.66961030406853,0.0145970805838832
170,"cluster_0012",40,0.0145970805838832,"cluster_0012",6.79955013217786,0.0145970805838832
187,"cluster_0014",17,0.0145970805838832,"cluster_0014",9.56031385468071,0.0145970805838832
223,"cluster_0016",40,0.0145970805838832,"cluster_0016",10.591791774766,0.0145970805838832
224,"cluster_0015",42,0.0145970805838832,"cluster_0015",10.591791774766,0.0145970805838832
226,"cluster_0018",101,0.0145970805838832,"cluster_0018",26.5541293210679,0.0145970805838832
243,"cluster_0017",86,0.0145970805838832,"cluster_0017",24.5643250874108,0.0145970805838832
247,"cluster_0019",179,0.0145970805838832,"cluster_0019",38.8066747480379,0.0145970805838832
266,"cluster_0020",304,0.0145970805838832,"cluster_0020",45.5234051560294,0.0145970805838832
270,"cluster_0021",447,0.0145970805838832,"cluster_0021",101.300624938842,0.0145970805838832
