"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0027",0,1,"cluster_0027",0,1
3,"cluster_0024",0,1,"cluster_0024",0,1
4,"cluster_0021",0,0.999000199960008,"cluster_0021",0,0.999000199960008
5,"cluster_0019",0,0.510097980403919,"cluster_0019",0,0.510097980403919
6,"cluster_0020",1,0.794041191761648,"cluster_0020",3.86634375088403,0.734253149370126
7,"cluster_0001",0,0.00559888022395521,"cluster_0001",0,0.00559888022395521
8,"cluster_0017",3,0.74005198960208,"cluster_0017",5.04132938816737,0.0413917216556689
9,"cluster_0005",0,0.00559888022395521,"cluster_0005",0,0.00559888022395521
11,"cluster_0018",5,0.14877024595081,"cluster_0018",8.42230716609172,0.0573885222955409
12,"cluster_0006",1,0.00559888022395521,"cluster_0006",3.84977856506059,0.00559888022395521
13,"cluster_0004",0,0.00559888022395521,"cluster_0004",0,0.00559888022395521
14,"cluster_0008",1,0.00559888022395521,"cluster_0008",3.86336783130988,0.00559888022395521
18,"cluster_0010",3,0.00559888022395521,"cluster_0010",5.47061568747065,0.00559888022395521
20,"cluster_0003",0,0.00559888022395521,"cluster_0003",0,0.00559888022395521
30,"cluster_0007",1,0.00559888022395521,"cluster_0007",3.85506044051192,0.00559888022395521
33,"cluster_0002",0,0.00559888022395521,"cluster_0002",0,0.00559888022395521
39,"cluster_0009",1,0.00559888022395521,"cluster_0009",3.88641981777574,0.00559888022395521
62,"cluster_0011",3,0.00559888022395521,"cluster_0011",5.54642984270062,0.00559888022395521
69,"cluster_0012",9,0.00559888022395521,"cluster_0012",13.9768335469805,0.00559888022395521
87,"cluster_0013",14,0.00559888022395521,"cluster_0013",20.3973008263348,0.00559888022395521
88,"cluster_0015",45,0.00559888022395521,"cluster_0015",70.2177253191813,0.0413917216556689
89,"cluster_0014",204,0.00559888022395521,"cluster_0014",84.5285751506554,0.00559888022395521
