"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0015",0,1,"cluster_0015",0,1
3,"cluster_0012",0,0.958608278344331,"cluster_0012",0,0.958608278344331
4,"cluster_0011",1,0.776444711057788,"cluster_0011",3.84977856506059,0.591681663667267
5,"cluster_0010",2,0.397320535892821,"cluster_0010",5.42946949526379,0.214757048590282
6,"cluster_0021",37,1,"cluster_0021",22.5789011911563,1
7,"cluster_0022",133,1,"cluster_0022",34.4244269959574,1
11,"cluster_0002",0,0.00539892021595681,"cluster_0002",0,0.00539892021595681
12,"cluster_0001",0,0.00539892021595681,"cluster_0001",0,0.00539892021595681
13,"cluster_0003",1,0.00539892021595681,"cluster_0003",3.85506044051192,0.00539892021595681
16,"cluster_0005",3,0.00539892021595681,"cluster_0005",5.47162736304292,0.00539892021595681
20,"cluster_0004",1,0.00539892021595681,"cluster_0004",3.86570187676184,0.00539892021595681
25,"cluster_0006",4,0.00539892021595681,"cluster_0006",5.93202992237901,0.00539892021595681
30,"cluster_0007",12,0.00539892021595681,"cluster_0007",17.8623271160283,0.00539892021595681
31,"cluster_0008",43,0.00539892021595681,"cluster_0008",70.7217880147271,0.973605278944211
35,"cluster_0009",176,0.0329934013197361,"cluster_0009",98.0304658868864,0.867226554689062
