"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0032",0,1,"cluster_0032",0,1
3,"cluster_0029",0,0.999400119976005,"cluster_0029",0,0.999400119976005
4,"cluster_0034",11,1,"cluster_0034",6.18168957486544,1
5,"cluster_0025",52,1,"cluster_0025",7.13061708409588,0.978404319136173
6,"cluster_0004",0,0.010997800439912,"cluster_0004",0,0.010997800439912
7,"cluster_0005",0,0.010997800439912,"cluster_0005",0,0.010997800439912
8,"cluster_0024",38,1,"cluster_0024",14.9352828898552,0.970805838832234
9,"cluster_0008",4,0.010997800439912,"cluster_0008",7.3892572021821,0.010997800439912
10,"cluster_0022",17,0.238152369526095,"cluster_0040",24.0178829208571,1
11,"cluster_0026",38,0.987602479504099,"cluster_0026",27.3061203945196,1
18,"cluster_0023",87,0.868226354729054,"cluster_0023",27.3061203945196,0.28494301139772
19,"cluster_0002",0,0.010997800439912,"cluster_0002",0,0.010997800439912
20,"cluster_0006",1,0.010997800439912,"cluster_0006",3.83980989112742,0.010997800439912
21,"cluster_0010",14,0.010997800439912,"cluster_0018",7.810231110537,0.010997800439912
22,"cluster_0012",37,0.010997800439912,"cluster_0012",26.6791552527437,0.010997800439912
23,"cluster_0020",64,0.010997800439912,"cluster_0020",36.4830139791109,0.736452709458108
24,"cluster_0019",262,1,"cluster_0019",16.0597850546014,0.010997800439912
25,"cluster_0021",262,1,"cluster_0021",30.7530215913819,0.0405918816236753
29,"cluster_0013",21,0.010997800439912,"cluster_0013",33.6503432523355,0.010997800439912
49,"cluster_0001",0,0.010997800439912,"cluster_0001",0,0.010997800439912
65,"cluster_0009",62,0.010997800439912,"cluster_0009",9.45482157420223,0.010997800439912
67,"cluster_0014",102,0.010997800439912,"cluster_0014",37.0797904659668,0.010997800439912
71,"cluster_0011",167,0.010997800439912,"cluster_0011",16.784738335762,0.010997800439912
90,"cluster_0016",167,0.010997800439912,"cluster_0016",37.9407732525314,0.010997800439912
92,"cluster_0015",337,0.010997800439912,"cluster_0015",37.0797904659668,0.010997800439912
108,"cluster_0017",477,0.010997800439912,"cluster_0017",60.9480893301833,0.010997800439912
