"analysis_type","coverage_threshold","coverage_threshold_percent","n_subjects","n_events","p_subjects_conditional","p_events_conditional","p_subjects_bonferroni","p_events_bonferroni","significant_subject_coverage","significant_event_coverage","subject_coverage_testable","event_coverage_testable","n_unique_null_subject_counts","n_unique_null_event_counts","subject_coverage_testability_reason","event_coverage_testability_reason","interpretation_scope","row_key"
"HOMDEL",0.5,50,19,19,0.756487025948104,0.784431137724551,1,1,FALSE,FALSE,TRUE,TRUE,18,19,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.500000"
"HOMDEL",0.75,75,18,18,0.291417165668663,0.31936127744511,1,1,FALSE,FALSE,TRUE,TRUE,15,14,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.750000"
"HOMDEL",0.9,90,12,12,0.291417165668663,0.297405189620758,1,1,FALSE,FALSE,TRUE,TRUE,10,10,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.900000"
"HOMDEL",1,100,5,5,0.994011976047904,0.994011976047904,1,1,FALSE,FALSE,TRUE,TRUE,12,12,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|1.000000"
"HETDEL",0.5,50,54,54,0.614770459081836,0.734530938123752,1,1,FALSE,FALSE,TRUE,TRUE,24,26,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.500000"
"HETDEL",0.75,75,49,49,0.253493013972056,0.333333333333333,1,1,FALSE,FALSE,TRUE,TRUE,23,24,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.750000"
"HETDEL",0.9,90,36,36,0.401197604790419,0.435129740518962,1,1,FALSE,FALSE,TRUE,TRUE,18,18,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.900000"
"HETDEL",1,100,15,15,1,1,1,1,FALSE,FALSE,TRUE,TRUE,17,17,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|1.000000"
"GAIN",0.5,50,27,27,0.896207584830339,0.994011976047904,1,1,FALSE,FALSE,TRUE,TRUE,4,4,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|0.500000"
"GAIN",0.75,75,26,26,0.99001996007984,0.998003992015968,1,1,FALSE,FALSE,TRUE,TRUE,4,5,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|0.750000"
"GAIN",0.9,90,25,25,1,1,1,1,FALSE,FALSE,TRUE,TRUE,4,5,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|0.900000"
"GAIN",1,100,24,24,1,1,1,1,FALSE,FALSE,TRUE,TRUE,5,5,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|1.000000"
"ALL_CNA",0.5,50,100,100,0.437125748502994,0.86626746506986,1,1,FALSE,FALSE,TRUE,TRUE,28,28,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.500000"
"ALL_CNA",0.75,75,93,93,0.103792415169661,0.42315369261477,1,1,FALSE,FALSE,TRUE,TRUE,25,28,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.750000"
"ALL_CNA",0.9,90,73,73,0.427145708582834,0.590818363273453,1,1,FALSE,FALSE,TRUE,TRUE,22,22,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.900000"
"ALL_CNA",1,100,44,44,1,1,1,1,FALSE,FALSE,TRUE,TRUE,22,23,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|1.000000"
