"analysis_type","coverage_threshold","coverage_threshold_percent","n_subjects","n_events","p_subjects_conditional","p_events_conditional","p_subjects_bonferroni","p_events_bonferroni","significant_subject_coverage","significant_event_coverage","subject_coverage_testable","event_coverage_testable","n_unique_null_subject_counts","n_unique_null_event_counts","subject_coverage_testability_reason","event_coverage_testability_reason","interpretation_scope","row_key"
"HOMDEL",0.5,50,19,19,0.843137254901961,0.862745098039216,1,1,FALSE,FALSE,TRUE,TRUE,11,11,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.500000"
"HOMDEL",0.75,75,18,18,0.313725490196078,0.313725490196078,1,1,FALSE,FALSE,TRUE,TRUE,11,11,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.750000"
"HOMDEL",0.9,90,12,12,0.333333333333333,0.333333333333333,1,1,FALSE,FALSE,TRUE,TRUE,10,10,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|0.900000"
"HOMDEL",1,100,5,5,0.980392156862745,0.980392156862745,1,1,FALSE,FALSE,TRUE,TRUE,9,9,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HOMDEL|1.000000"
"HETDEL",0.5,50,54,54,0.686274509803922,0.764705882352941,1,1,FALSE,FALSE,TRUE,TRUE,16,13,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.500000"
"HETDEL",0.75,75,49,49,0.274509803921569,0.372549019607843,1,1,FALSE,FALSE,TRUE,TRUE,17,17,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.750000"
"HETDEL",0.9,90,36,36,0.411764705882353,0.450980392156863,1,1,FALSE,FALSE,TRUE,TRUE,14,14,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|0.900000"
"HETDEL",1,100,15,15,1,1,1,1,FALSE,FALSE,TRUE,TRUE,12,12,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","HETDEL|1.000000"
"GAIN",0.5,50,27,27,0.882352941176471,1,1,1,FALSE,FALSE,TRUE,TRUE,3,3,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|0.500000"
"GAIN",0.75,75,26,26,1,1,1,1,FALSE,FALSE,TRUE,TRUE,3,3,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|0.750000"
"GAIN",0.9,90,25,25,1,1,1,1,FALSE,FALSE,TRUE,TRUE,4,4,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|0.900000"
"GAIN",1,100,24,24,1,1,1,1,FALSE,FALSE,TRUE,TRUE,5,5,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","GAIN|1.000000"
"ALL_CNA",0.5,50,100,100,0.549019607843137,0.882352941176471,1,1,FALSE,FALSE,TRUE,TRUE,15,18,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.500000"
"ALL_CNA",0.75,75,93,93,0.137254901960784,0.450980392156863,1,1,FALSE,FALSE,TRUE,TRUE,18,20,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.750000"
"ALL_CNA",0.9,90,73,73,0.470588235294118,0.607843137254902,1,1,FALSE,FALSE,TRUE,TRUE,16,16,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|0.900000"
"ALL_CNA",1,100,44,44,1,1,1,1,FALSE,FALSE,TRUE,TRUE,16,17,"","","Within-gene coding coverage conditional on a CNA overlapping the CDS","ALL_CNA|1.000000"
