"method_1","analysis_type","cluster_id_1","candidate_key_1","n_exons_1","n_subjects_1","n_events_1","diameter_1d_1","diameter_3d_1","p_1d_joint_1","p_3d_joint_1","p_any_joint_1","hotspot_class_1","significant_1d_1","significant_3d_1","significant_any_1","compactness_testable_1","method_2","matched_cluster_id_2","matched_candidate_key_2","matched_n_exons_2","matched_n_subjects_2","matched_n_events_2","matched_diameter_1d_2","matched_diameter_3d_2","matched_p_1d_joint_2","matched_p_3d_joint_2","matched_p_any_joint_2","matched_hotspot_class_2","matched_significant_1d_2","matched_significant_3d_2","matched_significant_any_2","matched_compactness_testable_2","jaccard_similarity","exact_match","significance_agrees","hotspot_class_agrees"
"complete","HOMDEL","HOMDEL_cluster_0001","2;5",2,32,32,3,4.48506255785825,0.153846153846154,0.0769230769230769,0.0769230769230769,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HOMDEL_cluster_0001","2;5",2,32,32,3,4.48506255785825,0.153846153846154,0.0769230769230769,0.0769230769230769,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0002","1;2;5",3,33,33,4,5.2305078957644,0.153846153846154,0.0769230769230769,0.0769230769230769,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HOMDEL_cluster_0002","1;2;5",3,33,33,4,5.2305078957644,0.153846153846154,0.0769230769230769,0.0769230769230769,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0003","3;4",2,31,31,1,5.5594506259578,0.0769230769230769,0.153846153846154,0.0769230769230769,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HOMDEL_cluster_0003","3;4",2,31,31,1,5.5594506259578,0.0769230769230769,0.153846153846154,0.0769230769230769,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0004","1;2;3;4",4,33,33,3,15.9159444173143,0.0769230769230769,0.153846153846154,0.0769230769230769,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HOMDEL_cluster_0004","1;2;3;4",4,33,33,3,15.9159444173143,0.0769230769230769,0.153846153846154,0.0769230769230769,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0005","1;2;3;4;5",5,33,33,4,15.9159444173143,0.153846153846154,0.153846153846154,0.153846153846154,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HOMDEL_cluster_0005","1;2;3;4;5",5,33,33,4,15.9159444173143,0.153846153846154,0.153846153846154,0.153846153846154,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0006","1;2",2,27,27,1,5.09284759901451,0.538461538461538,0.461538461538462,0.461538461538462,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HOMDEL_cluster_0006","1;2",2,27,27,1,5.09284759901451,0.538461538461538,0.461538461538462,0.461538461538462,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0007","7;8",2,14,14,1,4.50447228016122,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HOMDEL_cluster_0007","7;8",2,14,14,1,4.50447228016122,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0008","6;9",2,15,15,3,4.77930080439185,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HOMDEL_cluster_0008","6;9",2,15,15,3,4.77930080439185,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0009","5;6",2,19,20,1,5.15928912557371,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HOMDEL_cluster_0009","5;6",2,19,20,1,5.15928912557371,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
"complete","HOMDEL","HOMDEL_cluster_0010","6;7;8;9",4,15,15,3,8.87616612257633,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,"average","HOMDEL_cluster_0010","6;7;8;9",4,15,15,3,8.87616612257633,1,1,1,"Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE
