"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0040",0,1,"cluster_0040",0,1
3,"cluster_0045",0,1,"cluster_0045",0,1
4,"cluster_0047",0,1,"cluster_0047",0,1
5,"cluster_0039",0,0.999000199960008,"cluster_0039",0,0.999000199960008
6,"cluster_0038",0,0.589282143571286,"cluster_0038",0,0.589282143571286
7,"cluster_0037",1,0.969606078784243,"cluster_0037",3.80516609361536,0.262947410517896
9,"cluster_0100",49,1,"cluster_0100",24.037333171548,1
10,"cluster_0103",41,1,"cluster_0098",22.2365986607664,1
11,"cluster_0107",74,1,"cluster_0107",32.7347674040919,1
12,"cluster_0105",98,1,"cluster_0105",29.1936612469214,1
16,"cluster_0004",0,0.0101979604079184,"cluster_0004",0,0.0101979604079184
17,"cluster_0005",0,0.0101979604079184,"cluster_0005",0,0.0101979604079184
18,"cluster_0007",1,0.0101979604079184,"cluster_0007",3.82312856179334,0.0101979604079184
20,"cluster_0002",0,0.0101979604079184,"cluster_0002",0,0.0101979604079184
21,"cluster_0008",1,0.0101979604079184,"cluster_0008",3.83033431961232,0.0101979604079184
23,"cluster_0013",2,0.0101979604079184,"cluster_0013",6.40619645343475,0.0101979604079184
24,"cluster_0006",0,0.0101979604079184,"cluster_0006",0,0.0101979604079184
25,"cluster_0011",1,0.0101979604079184,"cluster_0011",3.83615849516153,0.0101979604079184
26,"cluster_0033",52,1,"cluster_0033",5.28335546788213,0.0101979604079184
27,"cluster_0017",3,0.0101979604079184,"cluster_0017",9.26352168454309,0.0101979604079184
28,"cluster_0034",54,1,"cluster_0034",9.26352168454309,0.0101979604079184
32,"cluster_0001",0,0.0101979604079184,"cluster_0001",0,0.0101979604079184
38,"cluster_0021",7,0.0101979604079184,"cluster_0021",21.0779901318888,0.0101979604079184
48,"cluster_0009",1,0.0101979604079184,"cluster_0009",3.83239363844582,0.0101979604079184
49,"cluster_0012",2,0.0101979604079184,"cluster_0012",5.32364264390464,0.0101979604079184
50,"cluster_0030",54,0.0315936812637473,"cluster_0030",14.7131234957095,0.0101979604079184
53,"cluster_0031",62,0.0403919216156769,"cluster_0031",19.4460451763334,0.0101979604079184
54,"cluster_0032",82,0.533293341331734,"cluster_0032",21.819979674601,0.0101979604079184
61,"cluster_0022",11,0.0101979604079184,"cluster_0022",24.5593906072606,0.0101979604079184
64,"cluster_0019",4,0.0101979604079184,"cluster_0019",13.4919182846621,0.0101979604079184
65,"cluster_0014",10,0.0101979604079184,"cluster_0014",7.09777549659046,0.0101979604079184
67,"cluster_0018",13,0.0101979604079184,"cluster_0018",12.7444018298232,0.0101979604079184
82,"cluster_0020",13,0.0101979604079184,"cluster_0020",20.5731579248301,0.0101979604079184
85,"cluster_0024",108,0.0101979604079184,"cluster_0024",29.3311526367444,0.0101979604079184
119,"cluster_0026",34,0.0101979604079184,"cluster_0026",33.6290956910827,0.0101979604079184
121,"cluster_0027",54,0.0101979604079184,"cluster_0027",33.6290956910827,0.0101979604079184
122,"cluster_0028",141,0.0101979604079184,"cluster_0028",37.2726750985222,0.0101979604079184
139,"cluster_0036",317,0.0101979604079184,"cluster_0036",65.3856388360625,1
