"annotation_class","feature_category","feature_subcategory","classification_rule","n_features","sources","source_feature_types"
"domain","domain","dna_binding_domain","grin3d_annotation_hierarchy_v1:dna_binding_domain",2,"InterPro;UniProtKB","DNA binding;domain"
"domain","domain","homologous_superfamily","grin3d_annotation_hierarchy_v1:homologous_superfamily",3,"InterPro","homologous_superfamily"
"domain","domain","oligomerization_domain","grin3d_annotation_hierarchy_v1:oligomerization_domain",1,"InterPro","domain"
"domain","domain","protein_family","grin3d_annotation_hierarchy_v1:protein_family",1,"InterPro","family"
"domain","domain","transactivation_domain","grin3d_annotation_hierarchy_v1:transactivation_domain",2,"InterPro","domain"
"functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias",3,"UniProtKB","Compositional bias"
"functional_region","functional_region","other_functional_region","grin3d_annotation_hierarchy_v1:other_functional_region",3,"UniProtKB","Region"
"interaction","interaction_interface","macromolecular_interface","pdbe_kb_sifts_v1:macromolecular_interface",4,"PDBe-KB/SIFTS","experimental interface"
"interaction","interaction_region","nucleic_acid_interaction_region","grin3d_annotation_hierarchy_v1:nucleic_acid_interaction_region",1,"UniProtKB","Region"
"interaction","interaction_interface","nucleic_acid_interface","pdbe_kb_sifts_v1:nucleic_acid_interface",2,"PDBe-KB/SIFTS","experimental interface"
"interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region",13,"UniProtKB","Region"
"interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface",50,"PDBe-KB/SIFTS","experimental interface"
"interaction","interaction_interface","protein_self_interface","pdbe_kb_sifts_v1:protein_self_interface",1,"PDBe-KB/SIFTS","experimental interface"
"modification","ptm","acetylation","grin3d_annotation_hierarchy_v1:acetylation",6,"UniProtKB","Modified residue"
"modification","ptm","cross_link","grin3d_annotation_hierarchy_v1:cross_link",1,"UniProtKB","Cross-link"
"modification","ptm","methylation","grin3d_annotation_hierarchy_v1:methylation",9,"UniProtKB","Modified residue"
"modification","ptm","other_modification","grin3d_annotation_hierarchy_v1:other_modification",2,"UniProtKB","Modified residue"
"modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation",13,"UniProtKB","Modified residue"
"modification","ptm","ubiquitination","grin3d_annotation_hierarchy_v1:ubiquitination",5,"UniProtKB","Cross-link"
"motif","motif","linear_motif","grin3d_annotation_hierarchy_v1:linear_motif",4,"UniProtKB","Motif"
"motif","motif","localization_signal","grin3d_annotation_hierarchy_v1:localization_signal",1,"UniProtKB","Motif"
"site","binding_site","cofactor_binding_site","pdbe_kb_sifts_v1:cofactor_binding_site",2,"PDBe-KB/SIFTS","experimental ligand contact"
"site","conserved_site","conserved_site","grin3d_annotation_hierarchy_v1:conserved_site",1,"InterPro","conserved_site"
"site","binding_site","drug_linked_ligand_site","pdbe_kb_sifts_v1:drug_linked_ligand_site",1,"PDBe-KB/SIFTS","experimental ligand contact"
"site","binding_site","metal_binding_site","grin3d_annotation_hierarchy_v1:metal_binding_site",4,"UniProtKB","Binding site"
"site","binding_site","nucleic_acid_binding_site","grin3d_annotation_hierarchy_v1:nucleic_acid_binding_site",1,"UniProtKB","Site"
"site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site",90,"PDBe-KB/SIFTS","experimental ligand contact"
"structural_region","disorder","intrinsically_disordered_region","grin3d_annotation_hierarchy_v1:intrinsically_disordered_region",3,"UniProtKB","Region"
