"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0024",0,1,"cluster_0024",0,1
3,"cluster_0018",0,0.500998003992016,"cluster_0018",0,0.500998003992016
4,"cluster_0001",0,0.0159680638722555,"cluster_0001",0,0.0159680638722555
5,"cluster_0037",34,1,"cluster_0016",7.8782067756565,0.0878243512974052
6,"cluster_0009",4,0.0159680638722555,"cluster_0009",10.1224179917646,0.0878243512974052
7,"cluster_0002",9,0.0159680638722555,"cluster_0002",11.0329225049395,0.0159680638722555
8,"cluster_0006",73,1,"cluster_0006",12.3965262069662,0.0159680638722555
9,"cluster_0007",147,1,"cluster_0007",15.19625341984,0.0159680638722555
11,"cluster_0023",133,0.998003992015968,"cluster_0008",20.9830447981221,0.0159680638722555
13,"cluster_0003",43,0.0159680638722555,"cluster_0003",24.3327664888315,0.0159680638722555
15,"cluster_0010",88,0.0159680638722555,"cluster_0010",64.744755053981,0.998003992015968
18,"cluster_0005",191,0.415169660678643,"cluster_0005",33.9021016752649,0.0159680638722555
19,"cluster_0004",191,0.161676646706587,"cluster_0004",33.9021016752649,0.0159680638722555
20,"cluster_0013",191,0.0878243512974052,"cluster_0013",42.6209890664213,0.063872255489022
21,"cluster_0012",236,0.063872255489022,"cluster_0012",45.207812433251,0.0359281437125748
23,"cluster_0011",255,0.0159680638722555,"cluster_0011",118.969142553857,1
