"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0020",0,1,"cluster_0020",0,1
3,"cluster_0015",0,0.473053892215569,"cluster_0015",0,0.473053892215569
4,"cluster_0001",0,0.0219560878243513,"cluster_0001",0,0.0219560878243513
5,"cluster_0035",34,1,"cluster_0013",7.8782067756565,0.0898203592814371
6,"cluster_0008",4,0.0219560878243513,"cluster_0008",10.1224179917646,0.0898203592814371
7,"cluster_0002",9,0.0219560878243513,"cluster_0005",9.10653507103553,0.0219560878243513
8,"cluster_0018",54,0.968063872255489,"cluster_0007",13.9722246260214,0.0219560878243513
11,"cluster_0019",133,0.976047904191617,"cluster_0019",68.4879897646295,1
12,"cluster_0006",147,0.980039920159681,"cluster_0006",15.3793277811483,0.0219560878243513
15,"cluster_0009",88,0.0219560878243513,"cluster_0009",64.744755053981,0.932135728542914
18,"cluster_0004",191,0.29940119760479,"cluster_0004",33.9021016752649,0.0219560878243513
20,"cluster_0011",191,0.0698602794411178,"cluster_0011",42.6209890664213,0.0578842315369262
22,"cluster_0003",210,0.0219560878243513,"cluster_0003",73.4290371310968,0.0219560878243513
23,"cluster_0010",255,0.0219560878243513,"cluster_0010",118.969142553857,1
