"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
3,"cluster_0047",0,1,"cluster_0047",0,1
4,"cluster_0039",0,0.378486055776892,"cluster_0039",0,0.378486055776892
5,"cluster_0035",1,0.278884462151394,"cluster_0035",3.8069416859206,0.278884462151394
6,"cluster_0001",0,0.163346613545817,"cluster_0001",0,0.163346613545817
7,"cluster_0004",1,0.163346613545817,"cluster_0004",3.83824243632421,0.163346613545817
8,"cluster_0005",1,0.163346613545817,"cluster_0005",3.84200845912655,0.163346613545817
9,"cluster_0011",2,0.163346613545817,"cluster_0011",6.18787378668958,0.163346613545817
10,"cluster_0008",2,0.163346613545817,"cluster_0008",5.63495350468839,0.163346613545817
11,"cluster_0038",17,0.278884462151394,"cluster_0038",21.5980108574841,0.964143426294821
12,"cluster_0037",29,0.278884462151394,"cluster_0026",18.1657509065824,0.163346613545817
13,"cluster_0015",14,0.163346613545817,"cluster_0015",19.4186634195044,0.163346613545817
14,"cluster_0016",7,0.163346613545817,"cluster_0016",19.8649597784642,0.163346613545817
15,"cluster_0073",75,1,"cluster_0073",37.7342796539168,1
16,"cluster_0033",41,0.163346613545817,"cluster_0033",30.428366469464,0.832669322709163
17,"cluster_0078",136,1,"cluster_0078",56.3672837202574,1
18,"cluster_0014",30,0.163346613545817,"cluster_0014",18.3902540765483,0.163346613545817
20,"cluster_0030",19,0.163346613545817,"cluster_0030",26.4766138318328,0.278884462151394
21,"cluster_0083",341,1,"cluster_0083",90.7917187963748,1
23,"cluster_0079",315,1,"cluster_0079",57.6847693416555,1
27,"cluster_0017",85,0.163346613545817,"cluster_0017",24.4397270852193,0.163346613545817
32,"cluster_0019",72,0.163346613545817,"cluster_0019",31.9796167738139,0.163346613545817
35,"cluster_0018",92,0.163346613545817,"cluster_0018",24.7727050803904,0.163346613545817
47,"cluster_0020",119,0.163346613545817,"cluster_0020",33.5247366283465,0.163346613545817
53,"cluster_0023",610,0.916334661354582,"cluster_0023",42.7011911894739,0.163346613545817
54,"cluster_0024",680,0.964143426294821,"cluster_0024",64.5493762169705,0.163346613545817
58,"cluster_0021",304,0.163346613545817,"cluster_0021",68.4787523615902,0.163346613545817
68,"cluster_0022",680,0.163346613545817,"cluster_0022",90.7917187963748,0.163346613545817
74,"cluster_0028",735,1,"cluster_0028",95.2851541059781,0.163346613545817
