"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0015",0,1,"cluster_0015",0,1
3,"cluster_0017",0,1,"cluster_0017",0,1
4,"cluster_0001",0,0.188118811881188,"cluster_0001",0,0.188118811881188
5,"cluster_0012",5,0.920792079207921,"cluster_0012",10.7390200670266,0.98019801980198
6,"cluster_0081",12,1,"cluster_0058",18.2703963284872,1
7,"cluster_0084",29,1,"cluster_0061",19.1222392517194,1
8,"cluster_0006",14,0.603960396039604,"cluster_0006",24.8149722748183,1
9,"cluster_0007",26,0.603960396039604,"cluster_0007",24.8149722748183,1
10,"cluster_0095",66,1,"cluster_0077",33.6940292336788,1
12,"cluster_0088",204,1,"cluster_0088",48.257838213082,1
13,"cluster_0093",81,1,"cluster_0093",62.7487656691349,1
14,"cluster_0096",209,1,"cluster_0096",106.432002710651,1
15,"cluster_0004",90,0.841584158415842,"cluster_0004",30.4670553056904,0.514851485148515
16,"cluster_0094",204,1,"cluster_0010",37.2047040574173,0.821782178217822
19,"cluster_0090",481,1,"cluster_0090",59.4708937716594,1
23,"cluster_0002",169,0.326732673267327,"cluster_0002",98.3661369577966,1
25,"cluster_0008",209,0.603960396039604,"cluster_0008",88.5030292362922,1
27,"cluster_0014",556,1,"cluster_0014",81.627387101389,0.98019801980198
30,"cluster_0011",556,1,"cluster_0011",95.5046686502812,0.821782178217822
36,"cluster_0013",414,0.930693069306931,"cluster_0013",125.658375610223,0.99009900990099
45,"cluster_0009",556,0.762376237623762,"cluster_0009",125.658375610223,0.841584158415842
57,"cluster_0003",660,0.326732673267327,"cluster_0003",137.959662789527,1
