"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0016",0,1,"cluster_0016",0,1
3,"cluster_0018",0,1,"cluster_0018",0,1
4,"cluster_0001",0,0.490196078431373,"cluster_0001",0,0.490196078431373
5,"cluster_0011",5,0.803921568627451,"cluster_0011",10.7390200670266,0.862745098039216
6,"cluster_0015",12,0.980392156862745,"cluster_0059",18.2703963284872,1
7,"cluster_0084",29,1,"cluster_0062",19.1222392517194,1
8,"cluster_0007",14,0.745098039215686,"cluster_0007",24.8149722748183,1
9,"cluster_0002",26,0.490196078431373,"cluster_0002",24.8149722748183,1
10,"cluster_0095",66,1,"cluster_0078",33.6940292336788,1
12,"cluster_0088",204,1,"cluster_0088",48.257838213082,1
13,"cluster_0093",81,1,"cluster_0093",62.7487656691349,1
14,"cluster_0096",209,1,"cluster_0096",106.432002710651,1
15,"cluster_0005",90,0.862745098039216,"cluster_0005",30.4670553056904,0.745098039215686
16,"cluster_0094",204,1,"cluster_0006",37.2047040574173,0.745098039215686
19,"cluster_0090",481,1,"cluster_0090",59.4708937716594,1
23,"cluster_0009",169,0.745098039215686,"cluster_0009",98.3661369577966,1
25,"cluster_0008",209,0.745098039215686,"cluster_0008",88.5030292362922,1
27,"cluster_0014",556,1,"cluster_0014",81.627387101389,0.980392156862745
30,"cluster_0010",556,1,"cluster_0010",95.5046686502812,0.803921568627451
36,"cluster_0013",414,0.941176470588235,"cluster_0013",125.658375610223,0.980392156862745
45,"cluster_0012",556,0.941176470588235,"cluster_0012",125.658375610223,0.941176470588235
57,"cluster_0003",660,0.490196078431373,"cluster_0003",137.959662789527,1
