"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0021",0,1,"cluster_0021",0,1
3,"cluster_0016",0,0.445544554455446,"cluster_0016",0,0.445544554455446
4,"cluster_0001",0,0.158415841584158,"cluster_0001",0,0.158415841584158
5,"cluster_0036",34,1,"cluster_0010",7.8782067756565,0.158415841584158
6,"cluster_0002",4,0.158415841584158,"cluster_0002",10.1224179917646,0.158415841584158
7,"cluster_0003",9,0.158415841584158,"cluster_0008",9.10653507103553,0.158415841584158
8,"cluster_0012",154,1,"cluster_0012",13.9722246260214,0.158415841584158
9,"cluster_0017",154,1,"cluster_0017",24.7782421894694,0.544554455445545
11,"cluster_0020",133,0.98019801980198,"cluster_0020",68.4879897646295,1
12,"cluster_0009",147,0.99009900990099,"cluster_0009",15.3793277811483,0.158415841584158
13,"cluster_0004",43,0.158415841584158,"cluster_0004",24.3327664888315,0.158415841584158
15,"cluster_0014",88,0.158415841584158,"cluster_0014",64.744755053981,0.98019801980198
19,"cluster_0006",191,0.257425742574257,"cluster_0006",33.9021016752649,0.158415841584158
20,"cluster_0005",191,0.158415841584158,"cluster_0005",42.6209890664213,0.158415841584158
22,"cluster_0013",210,0.158415841584158,"cluster_0013",73.4290371310968,0.257425742574257
23,"cluster_0015",255,0.158415841584158,"cluster_0015",118.969142553857,1
