"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
2,"cluster_0020",0,1,"cluster_0020",0,1
3,"cluster_0016",0,0.354581673306773,"cluster_0016",0,0.354581673306773
4,"cluster_0001",0,0.0876494023904383,"cluster_0001",0,0.0876494023904383
5,"cluster_0035",34,1,"cluster_0014",7.8782067756565,0.183266932270916
6,"cluster_0009",4,0.0876494023904383,"cluster_0009",10.1224179917646,0.183266932270916
7,"cluster_0002",9,0.0876494023904383,"cluster_0006",9.10653507103553,0.0876494023904383
8,"cluster_0008",154,1,"cluster_0008",13.9722246260214,0.0876494023904383
9,"cluster_0017",154,1,"cluster_0017",24.7782421894694,0.573705179282869
11,"cluster_0041",133,1,"cluster_0041",68.4879897646295,1
12,"cluster_0007",147,0.98406374501992,"cluster_0007",15.3793277811483,0.0876494023904383
13,"cluster_0003",43,0.0876494023904383,"cluster_0003",24.3327664888315,0.0876494023904383
15,"cluster_0010",88,0.0876494023904383,"cluster_0010",64.744755053981,0.99203187250996
19,"cluster_0004",191,0.0876494023904383,"cluster_0004",33.9021016752649,0.0876494023904383
20,"cluster_0005",191,0.0876494023904383,"cluster_0005",42.6209890664213,0.0876494023904383
22,"cluster_0013",210,0.183266932270916,"cluster_0013",73.4290371310968,0.183266932270916
23,"cluster_0011",255,0.0876494023904383,"cluster_0011",118.969142553857,1
