"n_subjects","best_1d_cluster","minimum_1d_diameter","best_1d_joint_p","best_3d_cluster","minimum_3d_diameter","best_3d_joint_p"
3,"cluster_0016",0,0.50199203187251,"cluster_0016",0,0.50199203187251
4,"cluster_0001",0,0.0278884462151394,"cluster_0001",0,0.0278884462151394
5,"cluster_0025",34,1,"cluster_0014",7.8782067756565,0.0956175298804781
6,"cluster_0008",4,0.0278884462151394,"cluster_0008",10.1224179917646,0.0956175298804781
7,"cluster_0002",9,0.0278884462151394,"cluster_0005",9.10653507103553,0.0278884462151394
8,"cluster_0007",154,1,"cluster_0007",13.9722246260214,0.0278884462151394
9,"cluster_0017",154,1,"cluster_0017",24.7782421894694,0.605577689243028
11,"cluster_0020",133,0.98804780876494,"cluster_0020",68.4879897646295,1
12,"cluster_0006",147,0.98804780876494,"cluster_0006",15.3793277811483,0.0278884462151394
13,"cluster_0003",43,0.0278884462151394,"cluster_0003",24.3327664888315,0.0278884462151394
15,"cluster_0010",88,0.0278884462151394,"cluster_0010",64.744755053981,0.968127490039841
19,"cluster_0004",191,0.127490039840637,"cluster_0004",33.9021016752649,0.0278884462151394
20,"cluster_0012",191,0.127490039840637,"cluster_0012",42.6209890664213,0.0956175298804781
22,"cluster_0009",210,0.0278884462151394,"cluster_0009",73.4290371310968,0.167330677290837
23,"cluster_0011",255,0.0278884462151394,"cluster_0011",118.969142553857,1
