"annotation_class","feature_category","feature_subcategory","classification_rule","n_features","sources","source_feature_types"
"domain","domain","homologous_superfamily","grin3d_annotation_hierarchy_v1:homologous_superfamily",2,"InterPro","homologous_superfamily"
"domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain",3,"InterPro;UniProtKB","domain;Domain"
"functional_region","functional_region","topological_domain","grin3d_annotation_hierarchy_v1:topological_domain",2,"UniProtKB","Topological domain"
"functional_region","functional_region","transmembrane_region","grin3d_annotation_hierarchy_v1:transmembrane_region",1,"UniProtKB","Transmembrane"
"interaction","interaction_interface","macromolecular_interface","pdbe_kb_sifts_v1:macromolecular_interface",3,"PDBe-KB/SIFTS","experimental interface"
"interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface",3,"PDBe-KB/SIFTS","experimental interface"
"interaction","interaction_interface","protein_self_interface","pdbe_kb_sifts_v1:protein_self_interface",1,"PDBe-KB/SIFTS","experimental interface"
"modification","ptm","disulfide_bond","grin3d_annotation_hierarchy_v1:disulfide_bond",3,"UniProtKB","Disulfide bond"
"modification","ptm","glycosylation","grin3d_annotation_hierarchy_v1:glycosylation",6,"UniProtKB","Glycosylation"
"modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation",1,"UniProtKB","Modified residue"
"motif","motif","linear_motif","grin3d_annotation_hierarchy_v1:linear_motif",2,"UniProtKB","Motif"
"site","conserved_site","conserved_site","grin3d_annotation_hierarchy_v1:conserved_site",1,"InterPro","conserved_site"
"site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site",8,"PDBe-KB/SIFTS","experimental ligand contact"
