"source","source_record_id","protein","uniprot_accession","api_url","web_url","record_version","annotation_date","retrieved_at_utc","raw_response_file","notes"
"UniProtKB","P16871","IL7R","P16871","https://rest.uniprot.org/uniprotkb/P16871.json","https://www.uniprot.org/uniprotkb/P16871/entry","232","2026-09-02","2026-09-17T05:12:56Z","raw/uniprot_P16871.json","Reviewed UniProtKB feature records; feature-level evidence retained."
"InterPro","P16871","IL7R","P16871","https://www.ebi.ac.uk/interpro/api/entry/interpro/protein/uniprot/P16871/?page_size=200","https://www.ebi.ac.uk/interpro/protein/UniProt/P16871/","","","2026-09-17T05:12:58Z","raw/interpro_matches_P16871.json","Protein-to-InterPro match response."
"InterPro","IPR003531","IL7R","P16871","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR003531/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR003531/","","","2026-09-17T05:12:58Z","raw/interpro_entry_IPR003531.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR003961","IL7R","P16871","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR003961/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR003961/","","","2026-09-17T05:12:58Z","raw/interpro_entry_IPR003961.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR013783","IL7R","P16871","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR013783/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR013783/","","","2026-09-17T05:12:58Z","raw/interpro_entry_IPR013783.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR036116","IL7R","P16871","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR036116/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR036116/","","","2026-09-17T05:12:58Z","raw/interpro_entry_IPR036116.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR040997","IL7R","P16871","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR040997/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR040997/","","","2026-09-17T05:12:58Z","raw/interpro_entry_IPR040997.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"PDBe-KB/SIFTS","P16871:interfaces","IL7R","P16871","https://www.ebi.ac.uk/pdbe/graph-api/uniprot/interface_residues/P16871","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P16871","","","2026-09-17T05:13:03Z","raw/pdbe_interfaces_P16871.json","Experimental interface residues mapped to UniProt coordinates by SIFTS; PDB IDs are retained as evidence."
"PDBe-KB/SIFTS","P16871:ligands","IL7R","P16871","https://www.ebi.ac.uk/pdbe/graph-api/uniprot/ligand_sites/P16871","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P16871","","","2026-09-17T05:13:04Z","raw/pdbe_ligands_P16871.json","Experimental non-solvent ligand-contact residues mapped to UniProt coordinates by SIFTS; a drug cross-reference is retained but not inferred."
"ChEMBL","P16871","IL7R","P16871","https://www.ebi.ac.uk/chembl/api/data/target.json?target_components__accession=P16871&limit=100","https://www.ebi.ac.uk/chembl/","","","2026-09-17T05:13:04Z","raw/chembl_targets_P16871.json","ChEMBL target and mechanism records are protein/complex-level context, not residue-level binding evidence. Related mechanism and molecule responses are cached separately."
