"annotation_class","feature_category","feature_subcategory","classification_rule","n_features","sources","source_feature_types"
"domain","domain","homologous_superfamily","grin3d_annotation_hierarchy_v1:homologous_superfamily",4,"InterPro","homologous_superfamily"
"domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain",16,"InterPro;UniProtKB","domain;Domain"
"domain","domain","protein_family","grin3d_annotation_hierarchy_v1:protein_family",6,"InterPro","family"
"functional_region","functional_region","other_functional_region","grin3d_annotation_hierarchy_v1:other_functional_region",2,"InterPro","active_site;binding_site"
"interaction","interaction_region","protein_interaction_region","grin3d_annotation_hierarchy_v1:protein_interaction_region",1,"UniProtKB","Region"
"interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface",1,"PDBe-KB/SIFTS","experimental interface"
"interaction","interaction_interface","protein_self_interface","pdbe_kb_sifts_v1:protein_self_interface",1,"PDBe-KB/SIFTS","experimental interface"
"modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation",6,"UniProtKB","Modified residue"
"site","catalytic_site","catalytic_site","grin3d_annotation_hierarchy_v1:catalytic_site",1,"UniProtKB","Active site"
"site","binding_site","drug_linked_ligand_site","pdbe_kb_sifts_v1:drug_linked_ligand_site",3,"PDBe-KB/SIFTS","experimental ligand contact"
"site","binding_site","ligand_binding_site","grin3d_annotation_hierarchy_v1:ligand_binding_site",2,"UniProtKB","Binding site"
"site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site",48,"PDBe-KB/SIFTS","experimental ligand contact"
