"protein","uniprot_accession","target_chembl_id","target_name","target_type","molecule_chembl_id","molecule_name","molecule_type","max_phase","first_approval","action_type","mechanism_of_action","mechanism_comment","direct_interaction","molecular_mechanism","evidence_scope","target_url","molecule_url","retrieved_at_utc"
"JAK3","P52333","CHEMBL2363062","Janus Kinase (JAK)","PROTEIN FAMILY","CHEMBL2103743","TOFACITINIB CITRATE","Small molecule","4.0","2012","INHIBITOR","Janus Kinase (JAK) inhibitor","","1","1","target_level_drug_mechanism_not_residue_evidence","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2363062","https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL2103743","2026-09-17T05:13:28Z"
"JAK3","P52333","CHEMBL2148","Tyrosine-protein kinase JAK3","SINGLE PROTEIN","CHEMBL4116008","CERDULATINIB","Small molecule","2.0","","INHIBITOR","Tyrosine-protein kinase JAK3 inhibitor","Dual spleen tyrosine kinase (Syk) and janus kinase (JAK) inhibitor ","1","1","target_level_drug_mechanism_not_residue_evidence","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2148","https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL4116008","2026-09-17T05:13:28Z"
"JAK3","P52333","CHEMBL2148","Tyrosine-protein kinase JAK3","SINGLE PROTEIN","CHEMBL5314384","R-348","Small molecule","2.0","","INHIBITOR","Tyrosine-protein kinase JAK3 inhibitor","Prodrug of R333","1","1","target_level_drug_mechanism_not_residue_evidence","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2148","https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL5314384","2026-09-17T05:13:28Z"
"JAK3","P52333","CHEMBL2148","Tyrosine-protein kinase JAK3","SINGLE PROTEIN","CHEMBL2106468","TRICETAMIDE","Small molecule","1.0","","INHIBITOR","Tyrosine-protein kinase JAK3 inhibitor","Prodrug of R-507","1","1","target_level_drug_mechanism_not_residue_evidence","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2148","https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL2106468","2026-09-17T05:13:28Z"
"JAK3","P52333","CHEMBL2148","Tyrosine-protein kinase JAK3","SINGLE PROTEIN","CHEMBL405130","WHI-P131","Small molecule","1.0","","INHIBITOR","Tyrosine-protein kinase JAK3 inhibitor","","1","1","target_level_drug_mechanism_not_residue_evidence","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2148","https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL405130","2026-09-17T05:13:28Z"
"JAK3","P52333","CHEMBL2363062","Janus Kinase (JAK)","PROTEIN FAMILY","CHEMBL3137308","PEFICITINIB","Small molecule","4.0","2019","INHIBITOR","Janus Kinase (JAK) inhibitor","","1","1","target_level_drug_mechanism_not_residue_evidence","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2363062","https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL3137308","2026-09-17T05:13:28Z"
"JAK3","P52333","CHEMBL2148","Tyrosine-protein kinase JAK3","SINGLE PROTEIN","CHEMBL495727","AT-9283","Small molecule","2.0","","INHIBITOR","Tyrosine-protein kinase JAK3 inhibitor","","1","1","target_level_drug_mechanism_not_residue_evidence","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2148","https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL495727","2026-09-17T05:13:28Z"
"JAK3","P52333","CHEMBL2148","Tyrosine-protein kinase JAK3","SINGLE PROTEIN","CHEMBL3545159","R-333","Unknown","2.0","","INHIBITOR","Tyrosine-protein kinase JAK3 inhibitor","Active metabolite of R-348","1","1","target_level_drug_mechanism_not_residue_evidence","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2148","https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL3545159","2026-09-17T05:13:28Z"
"JAK3","P52333","CHEMBL2148","Tyrosine-protein kinase JAK3","SINGLE PROTEIN","CHEMBL3039513","DECERNOTINIB","Small molecule","2.0","","INHIBITOR","Tyrosine-protein kinase JAK3 inhibitor","","1","1","target_level_drug_mechanism_not_residue_evidence","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2148","https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL3039513","2026-09-17T05:13:28Z"
"JAK3","P52333","CHEMBL2148","Tyrosine-protein kinase JAK3","SINGLE PROTEIN","CHEMBL4085457","RITLECITINIB","Small molecule","4.0","2023","INHIBITOR","Tyrosine-protein kinase JAK3 inhibitor","","1","1","target_level_drug_mechanism_not_residue_evidence","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2148","https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL4085457","2026-09-17T05:13:28Z"
