"feature_id","protein","uniprot_accession","source","source_record_id","evidence_scope","evidence_code","publication_id_type","publication_id","pubmed_id","doi","title","journal","year","authors","publication_url"
"UniProtKB:P52333:51c3f25e","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00084","","","","","","",""
"UniProtKB:P52333:1806f325","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00159","","","","","","",""
"UniProtKB:P52333:424c8d91","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00159","","","","","","",""
"UniProtKB:P52333:6f3282d7","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00159","","","","","","",""
"UniProtKB:P52333:6f3282d7","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU10028","","","","","","",""
"UniProtKB:P52333:611d4309","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00159","","","","","","",""
"UniProtKB:P52333:671a0961","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00159","","","","","","",""
"UniProtKB:P52333:1adfaa34","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000250","UniProtKB","Q62137","","","","","","",""
"UniProtKB:P52333:27b46253","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000269","PubMed","15121872","15121872","10.1128/mcb.24.10.4557-4570.2004","Tyrosine 813 is a site of JAK2 autophosphorylation critical for activation of JAK2 by SH2-B beta.","Mol. Cell. Biol.","2004","Kurzer J.H.;Argetsinger L.S.;Zhou Y.J.;Kouadio J.L.;O'Shea J.J.;Carter-Su C.","https://pubmed.ncbi.nlm.nih.gov/15121872/"
"UniProtKB:P52333:71d66caa","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000269","PubMed","18250158","18250158","10.1128/mcb.01789-07","Phosphorylation of human Jak3 at tyrosines 904 and 939 positively regulates its activity.","Mol. Cell. Biol.","2008","Cheng H.;Ross J.A.;Frost J.A.;Kirken R.A.","https://pubmed.ncbi.nlm.nih.gov/18250158/"
"UniProtKB:P52333:1dc52735","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000269","PubMed","18250158","18250158","10.1128/mcb.01789-07","Phosphorylation of human Jak3 at tyrosines 904 and 939 positively regulates its activity.","Mol. Cell. Biol.","2008","Cheng H.;Ross J.A.;Frost J.A.;Kirken R.A.","https://pubmed.ncbi.nlm.nih.gov/18250158/"
"UniProtKB:P52333:4a8a8177","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000269","PubMed","15831699","15831699","10.1182/blood-2005-02-0707","Crystal structure of the Jak3 kinase domain in complex with a staurosporine analog.","Blood","2005","Boggon T.J.;Li Y.;Manley P.W.;Eck M.J.","https://pubmed.ncbi.nlm.nih.gov/15831699/"
"UniProtKB:P52333:727d567d","JAK3","P52333","UniProtKB","P52333","feature_evidence","ECO:0000269","PubMed","15831699","15831699","10.1182/blood-2005-02-0707","Crystal structure of the Jak3 kinase domain in complex with a staurosporine analog.","Blood","2005","Boggon T.J.;Li Y.;Manley P.W.;Eck M.J.","https://pubmed.ncbi.nlm.nih.gov/15831699/"
"InterPro:IPR000299:1:36b4e2d2","JAK3","P52333","InterPro","IPR000299","entry_literature","InterPro_entry_literature","PubMed","10847681","10847681","10.1016/S0092-8674(00)80836-3","Structure of the ERM protein moesin reveals the FERM domain fold masked by an extended actin binding tail domain.","Cell","2000","Pearson MA;Reczek D;Bretscher A;Karplus PA.","https://pubmed.ncbi.nlm.nih.gov/10847681/"
"InterPro:IPR000299:1:36b4e2d2","JAK3","P52333","InterPro","IPR000299","entry_literature","InterPro_entry_literature","PubMed","9757824","9757824","10.1016/S0968-0004(98)01237-7","The FERM domain: a unique module involved in the linkage of cytoplasmic proteins to the membrane.","Trends Biochem. Sci.","1998","Chishti AH;Kim AC;Marfatia SM;Lutchman M;Hanspal M;Jindal H;Liu SC;Low PS;Rouleau GA;Mohandas N;Chasis JA;Conboy JG;Gascard P;Takakuwa Y;Huang SC;Benz EJ Jr;Bretscher A;Fehon RG;Gusella JF;Ramesh V;Solomon F;Marchesi VT;Tsukita S;Hoover KB.","https://pubmed.ncbi.nlm.nih.gov/9757824/"
"InterPro:IPR000299:1:36b4e2d2","JAK3","P52333","InterPro","IPR000299","entry_literature","InterPro_entry_literature","PubMed","10970839","10970839","10.1093/emboj/19.17.4449","Structural basis of the membrane-targeting and unmasking mechanisms of the radixin FERM domain.","EMBO J.","2000","Hamada K;Shimizu T;Matsui T;Tsukita S;Hakoshima T.","https://pubmed.ncbi.nlm.nih.gov/10970839/"
"InterPro:IPR000719:1:6b08f8ae","JAK3","P52333","InterPro","IPR000719","entry_literature","InterPro_entry_literature","PubMed","7768349","7768349","","Protein kinases 6. The eukaryotic protein kinase superfamily: kinase (catalytic) domain structure and classification.","FASEB J.","1995","Hanks SK;Hunter T.","https://pubmed.ncbi.nlm.nih.gov/7768349/"
"InterPro:IPR000719:1:6b08f8ae","JAK3","P52333","InterPro","IPR000719","entry_literature","InterPro_entry_literature","PubMed","1835513","1835513","10.1016/0076-6879(91)00125-G","Protein kinase classification.","Meth. Enzymol.","1991","Hunter T.","https://pubmed.ncbi.nlm.nih.gov/1835513/"
"InterPro:IPR000719:1:6b08f8ae","JAK3","P52333","InterPro","IPR000719","entry_literature","InterPro_entry_literature","PubMed","1956325","1956325","10.1016/0076-6879(91)00126-H","Protein kinase catalytic domain sequence database: identification of conserved features of primary structure and classification of family members.","Meth. Enzymol.","1991","Hanks SK;Quinn AM.","https://pubmed.ncbi.nlm.nih.gov/1956325/"
"InterPro:IPR000719:1:6b08f8ae","JAK3","P52333","InterPro","IPR000719","entry_literature","InterPro_entry_literature","PubMed","3291115","3291115","","The protein kinase family: conserved features and deduced phylogeny of the catalytic domains.","Science","1988","Hanks SK;Quinn AM;Hunter T.","https://pubmed.ncbi.nlm.nih.gov/3291115/"
"InterPro:IPR000719:1:6b08f8ae","JAK3","P52333","InterPro","IPR000719","entry_literature","InterPro_entry_literature","PubMed","1862342","1862342","","Crystal structure of the catalytic subunit of cyclic adenosine monophosphate-dependent protein kinase.","Science","1991","Knighton DR;Zheng JH;Ten Eyck LF;Ashford VA;Xuong NH;Taylor SS;Sowadski JM.","https://pubmed.ncbi.nlm.nih.gov/1862342/"
"InterPro:IPR000719:1:6b08f8ae","JAK3","P52333","InterPro","IPR000719","entry_literature","InterPro_entry_literature","PubMed","12734000","12734000","10.1186/gb-2003-4-5-111","Genomic analysis of the eukaryotic protein kinase superfamily: a perspective.","Genome Biol.","2003","Hanks SK.","https://pubmed.ncbi.nlm.nih.gov/12734000/"
"InterPro:IPR000719:1:6b08f8ae","JAK3","P52333","InterPro","IPR000719","entry_literature","InterPro_entry_literature","PubMed","12471243","12471243","10.1126/science.1075762","The protein kinase complement of the human genome.","Science","2002","Manning G;Whyte DB;Martinez R;Hunter T;Sudarsanam S.","https://pubmed.ncbi.nlm.nih.gov/12471243/"
