"source","source_record_id","protein","uniprot_accession","api_url","web_url","record_version","annotation_date","retrieved_at_utc","raw_response_file","notes"
"UniProtKB","P60484","PTEN","P60484","https://rest.uniprot.org/uniprotkb/P60484.json","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z","raw/uniprot_P60484.json","Reviewed UniProtKB feature records; feature-level evidence retained."
"InterPro","P60484","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/protein/uniprot/P60484/?page_size=200","https://www.ebi.ac.uk/interpro/protein/UniProt/P60484/","","","2026-09-17T05:13:34Z","raw/interpro_matches_P60484.json","Protein-to-InterPro match response."
"InterPro","IPR000387","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR000387/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000387/","","","2026-09-17T05:13:34Z","raw/interpro_entry_IPR000387.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR003595","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR003595/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR003595/","","","2026-09-17T05:13:34Z","raw/interpro_entry_IPR003595.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR014020","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR014020/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR014020/","","","2026-09-17T05:13:34Z","raw/interpro_entry_IPR014020.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR016130","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR016130/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR016130/","","","2026-09-17T05:13:34Z","raw/interpro_entry_IPR016130.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR017361","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR017361/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR017361/","","","2026-09-17T05:13:34Z","raw/interpro_entry_IPR017361.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR029021","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR029021/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR029021/","","","2026-09-17T05:13:34Z","raw/interpro_entry_IPR029021.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR029023","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR029023/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR029023/","","","2026-09-17T05:13:34Z","raw/interpro_entry_IPR029023.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR035892","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR035892/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR035892/","","","2026-09-17T05:13:34Z","raw/interpro_entry_IPR035892.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR045101","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR045101/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR045101/","","","2026-09-17T05:13:34Z","raw/interpro_entry_IPR045101.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR051281","PTEN","P60484","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR051281/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR051281/","","","2026-09-17T05:13:34Z","raw/interpro_entry_IPR051281.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"PDBe-KB/SIFTS","P60484:interfaces","PTEN","P60484","https://www.ebi.ac.uk/pdbe/graph-api/uniprot/interface_residues/P60484","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P60484","","","2026-09-17T05:13:45Z","raw/pdbe_interfaces_P60484.json","Experimental interface residues mapped to UniProt coordinates by SIFTS; PDB IDs are retained as evidence."
"PDBe-KB/SIFTS","P60484:ligands","PTEN","P60484","https://www.ebi.ac.uk/pdbe/graph-api/uniprot/ligand_sites/P60484","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P60484","","","2026-09-17T05:13:46Z","raw/pdbe_ligands_P60484.json","Experimental non-solvent ligand-contact residues mapped to UniProt coordinates by SIFTS; a drug cross-reference is retained but not inferred."
"ChEMBL","P60484","PTEN","P60484","https://www.ebi.ac.uk/chembl/api/data/target.json?target_components__accession=P60484&limit=100","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2052032","","","2026-09-17T05:13:47Z","raw/chembl_targets_P60484.json","ChEMBL target and mechanism records are protein/complex-level context, not residue-level binding evidence. Related mechanism and molecule responses are cached separately."
"ChEMBL","P60484:mechanisms","PTEN","P60484","https://www.ebi.ac.uk/chembl/api/data/mechanism.json?target_chembl_id__in=CHEMBL2052032,CHEMBL4523606&limit=1000","https://www.ebi.ac.uk/chembl/","","","2026-09-17T05:13:48Z","raw/chembl_mechanisms_P60484.json","Drug-mechanism records for ChEMBL targets containing this accession."
