"feature_id","protein","uniprot_accession","source","source_record_id","evidence_scope","evidence_code","publication_id_type","publication_id","pubmed_id","doi","title","journal","year","authors","publication_url"
"UniProtKB:P60484:4d1da042","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00590","","","","","","",""
"UniProtKB:P60484:07b36258","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00589","","","","","","",""
"UniProtKB:P60484:0e7684db","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0000269","PubMed","15355975","15355975","10.1074/jbc.c400377200","Regulation of PTEN phosphorylation and stability by a tumor suppressor candidate protein.","J. Biol. Chem.","2004","Okahara F.;Ikawa H.;Kanaho Y.;Maehama T.","https://pubmed.ncbi.nlm.nih.gov/15355975/"
"UniProtKB:P60484:017a8dd1","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:P60484:577194d5","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0000250","UniProtKB","O08586","","","","","","",""
"UniProtKB:P60484:25d57496","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:P60484:1d17b9b5","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:P60484:5a1a000e","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0000255","PROSITE-ProRule","PRU00590","","","","","","",""
"UniProtKB:P60484:16de2959","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0007744","PubMed","22814378","22814378","10.1073/pnas.1210303109","N-terminal acetylome analyses and functional insights of the N-terminal acetyltransferase NatB.","Proc. Natl. Acad. Sci. U.S.A.","2012","Van Damme P.;Lasa M.;Polevoda B.;Gazquez C.;Elosegui-Artola A.;Kim D.S.;De Juan-Pardo E.;Demeyer K.;Hole K.;Larrea E.;Timmerman E.;Prieto J.;Arnesen T.;Sherman F.;Gevaert K.;Aldabe R.","https://pubmed.ncbi.nlm.nih.gov/22814378/"
"UniProtKB:P60484:1f1da56c","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0000250","UniProtKB","O08586","","","","","","",""
"UniProtKB:P60484:2cde9cf2","PTEN","P60484","UniProtKB","P60484","feature_evidence","ECO:0000269","PubMed","26166433","26166433","10.1038/ncomms8721","A phosphorylation switch controls the spatiotemporal activation of Rho GTPases in directional cell migration.","Nat. Commun.","2015","Cao X.;Kaneko T.;Li J.S.;Liu A.D.;Voss C.;Li S.S.","https://pubmed.ncbi.nlm.nih.gov/26166433/"
