"source","source_record_id","protein","uniprot_accession","api_url","web_url","record_version","annotation_date","retrieved_at_utc","raw_response_file","notes"
"UniProtKB","P04637","TP53","P04637","https://rest.uniprot.org/uniprotkb/P04637.json","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-17T05:07:57Z","raw/uniprot_P04637.json","Reviewed UniProtKB feature records; feature-level evidence retained."
"InterPro","P04637","TP53","P04637","https://www.ebi.ac.uk/interpro/api/entry/interpro/protein/uniprot/P04637/?page_size=200","https://www.ebi.ac.uk/interpro/protein/UniProt/P04637/","","","2026-09-17T05:07:58Z","raw/interpro_matches_P04637.json","Protein-to-InterPro match response."
"InterPro","IPR002117","TP53","P04637","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR002117/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR002117/","","","2026-09-17T05:07:58Z","raw/interpro_entry_IPR002117.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR008967","TP53","P04637","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR008967/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR008967/","","","2026-09-17T05:07:58Z","raw/interpro_entry_IPR008967.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR010991","TP53","P04637","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR010991/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR010991/","","","2026-09-17T05:07:58Z","raw/interpro_entry_IPR010991.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR011615","TP53","P04637","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR011615/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR011615/","","","2026-09-17T05:07:58Z","raw/interpro_entry_IPR011615.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR012346","TP53","P04637","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR012346/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR012346/","","","2026-09-17T05:07:58Z","raw/interpro_entry_IPR012346.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR013872","TP53","P04637","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR013872/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR013872/","","","2026-09-17T05:07:58Z","raw/interpro_entry_IPR013872.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR036674","TP53","P04637","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR036674/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR036674/","","","2026-09-17T05:07:58Z","raw/interpro_entry_IPR036674.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR040926","TP53","P04637","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR040926/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR040926/","","","2026-09-17T05:07:58Z","raw/interpro_entry_IPR040926.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR057064","TP53","P04637","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR057064/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR057064/","","","2026-09-17T05:07:58Z","raw/interpro_entry_IPR057064.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"PDBe-KB/SIFTS","P04637:interfaces","TP53","P04637","https://www.ebi.ac.uk/pdbe/graph-api/uniprot/interface_residues/P04637","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-17T05:08:06Z","raw/pdbe_interfaces_P04637.json","Experimental interface residues mapped to UniProt coordinates by SIFTS; PDB IDs are retained as evidence."
"PDBe-KB/SIFTS","P04637:ligands","TP53","P04637","https://www.ebi.ac.uk/pdbe/graph-api/uniprot/ligand_sites/P04637","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-17T05:08:08Z","raw/pdbe_ligands_P04637.json","Experimental non-solvent ligand-contact residues mapped to UniProt coordinates by SIFTS; a drug cross-reference is retained but not inferred."
"ChEMBL","P04637","TP53","P04637","https://www.ebi.ac.uk/chembl/api/data/target.json?target_components__accession=P04637&limit=100","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1907611","","","2026-09-17T05:08:10Z","raw/chembl_targets_P04637.json","ChEMBL target and mechanism records are protein/complex-level context, not residue-level binding evidence. Related mechanism and molecule responses are cached separately."
"ChEMBL","P04637:mechanisms","TP53","P04637","https://www.ebi.ac.uk/chembl/api/data/mechanism.json?target_chembl_id__in=CHEMBL1907611,CHEMBL2221344,CHEMBL3301383,CHEMBL3883306,CHEMBL3885543,CHEMBL3885544,CHEMBL3885545,CHEMBL4096,CHEMBL4879538,CHEMBL6066147,CHEMBL6066834&limit=1000","https://www.ebi.ac.uk/chembl/","","","2026-09-17T05:08:11Z","raw/chembl_mechanisms_P04637.json","Drug-mechanism records for ChEMBL targets containing this accession."
"ChEMBL","P04637:molecules","TP53","P04637","https://www.ebi.ac.uk/chembl/api/data/molecule.json?molecule_chembl_id__in=CHEMBL2108585,CHEMBL2402737,CHEMBL3125702,CHEMBL3186011,CHEMBL3653256,CHEMBL4091801&limit=1000","https://www.ebi.ac.uk/chembl/","","","2026-09-17T05:08:11Z","raw/chembl_molecules_P04637.json","Molecule names and development phases for returned drug mechanisms."
