"protein","uniprot_accession","target_chembl_id","target_name","target_type","organism","tax_id","component_accessions","component_relationships","evidence_scope","source_url","retrieved_at_utc"
"TP53","P04637","CHEMBL4096","Cellular tumor antigen p53","SINGLE PROTEIN","Homo sapiens","9606","P04637","SINGLE PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL4096","2026-09-17T05:08:10Z"
"TP53","P04637","CHEMBL1907611","Tumour suppressor p53/oncoprotein Mdm2","PROTEIN-PROTEIN INTERACTION","Homo sapiens","9606","P04637;Q00987","INTERACTING PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL1907611","2026-09-17T05:08:10Z"
"TP53","P04637","CHEMBL2221344","Tumour suppressor protein p53/Mdm4","PROTEIN-PROTEIN INTERACTION","Homo sapiens","9606","O15151;P04637","INTERACTING PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2221344","2026-09-17T05:08:10Z"
"TP53","P04637","CHEMBL3301383","CREB-binding protein/p53","PROTEIN-PROTEIN INTERACTION","Homo sapiens","9606","P04637;Q92793","INTERACTING PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL3301383","2026-09-17T05:08:10Z"
"TP53","P04637","CHEMBL3883306","E3 ubiquitin-protein ligase Mdm2/Cellular tumor antigen p53/Protein Mdm4","PROTEIN-PROTEIN INTERACTION","Homo sapiens","9606","O15151;P04637;Q00987","INTERACTING PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL3883306","2026-09-17T05:08:10Z"
"TP53","P04637","CHEMBL3885543","Cellular tumor antigen p53/Death-associated protein kinase 1","PROTEIN-PROTEIN INTERACTION","Homo sapiens","9606","P04637;P53355","INTERACTING PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL3885543","2026-09-17T05:08:10Z"
"TP53","P04637","CHEMBL3885544","Cellular tumor antigen p53/Peptidyl-prolyl cis-trans isomerase D","PROTEIN-PROTEIN INTERACTION","Homo sapiens","9606","P04637;Q08752","INTERACTING PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL3885544","2026-09-17T05:08:10Z"
"TP53","P04637","CHEMBL3885545","Cellular tumor antigen p53/Replication protein A 70 kDa DNA-binding subunit","PROTEIN-PROTEIN INTERACTION","Homo sapiens","9606","P04637;P27694","INTERACTING PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL3885545","2026-09-17T05:08:10Z"
"TP53","P04637","CHEMBL4879538","Protein cereblon/E3 ubiquitin-protein ligase Mdm2/Cellular tumor antigen p53","PROTEIN-PROTEIN INTERACTION","Homo sapiens","9606","P04637;Q00987;Q96SW2","INTERACTING PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL4879538","2026-09-17T05:08:10Z"
"TP53","P04637","CHEMBL6066147","Bromodomain-containing protein 4/Cellular tumor antigen p53","PROTEIN-PROTEIN INTERACTION","Homo sapiens","9606","O60885;P04637","INTERACTING PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL6066147","2026-09-17T05:08:10Z"
"TP53","P04637","CHEMBL6066834","CREB-binding protein/Histone acetyltransferase p300/Cellular tumor antigen p53","PROTEIN-PROTEIN INTERACTION","Homo sapiens","9606","P04637;Q09472;Q92793","INTERACTING PROTEIN","protein_or_complex_target_record","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL6066834","2026-09-17T05:08:10Z"
