"feature_id","protein","uniprot_accession","source","source_record_id","evidence_scope","evidence_code","publication_id_type","publication_id","pubmed_id","doi","title","journal","year","authors","publication_url"
"UniProtKB:P04637:3e8a8936","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","16793544","16793544","10.1016/j.molcel.2006.05.015","Structural basis of DNA recognition by p53 tetramers.","Mol. Cell","2006","Kitayner M.;Rozenberg H.;Kessler N.;Rabinovich D.;Shaulov L.;Haran T.E.;Shakked Z.","https://pubmed.ncbi.nlm.nih.gov/16793544/"
"UniProtKB:P04637:3e8a8936","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","18996393","18996393","10.1016/j.jmb.2008.10.063","Structural basis of restoring sequence-specific DNA binding and transactivation to mutant p53 by suppressor mutations.","J. Mol. Biol.","2009","Suad O.;Rozenberg H.;Brosh R.;Diskin-Posner Y.;Kessler N.;Shimon L.J.;Frolow F.;Liran A.;Rotter V.;Shakked Z.","https://pubmed.ncbi.nlm.nih.gov/18996393/"
"UniProtKB:P04637:3e8a8936","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","20364130","20364130","10.1038/nsmb.1800","Diversity in DNA recognition by p53 revealed by crystal structures with Hoogsteen base pairs.","Nat. Struct. Mol. Biol.","2010","Kitayner M.;Rozenberg H.;Rohs R.;Suad O.;Rabinovich D.;Honig B.;Shakked Z.","https://pubmed.ncbi.nlm.nih.gov/20364130/"
"UniProtKB:P04637:176b874d","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","25732823","25732823","10.1016/j.celrep.2015.01.066","DBC1 functions as a tumor suppressor by regulating p53 stability.","Cell Rep.","2015","Qin B.;Minter-Dykhouse K.;Yu J.;Zhang J.;Liu T.;Zhang H.;Lee S.;Kim J.;Wang L.;Lou Z.","https://pubmed.ncbi.nlm.nih.gov/25732823/"
"UniProtKB:P04637:4b91feae","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","15186775","15186775","10.1016/j.cell.2004.05.009","Ordered cooperative functions of PRMT1, p300, and CARM1 in transcriptional activation by p53.","Cell","2004","An W.;Kim J.;Roeder R.G.","https://pubmed.ncbi.nlm.nih.gov/15186775/"
"UniProtKB:P04637:659f17ab","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","31953488","31953488","10.1038/s41598-020-57521-w","Liquid-like droplet formation by tumor suppressor p53 induced by multivalent electrostatic interactions between two disordered domains.","Sci. Rep.","2020","Kamagata K.;Kanbayashi S.;Honda M.;Itoh Y.;Takahashi H.;Kameda T.;Nagatsugi F.;Takahashi S.","https://pubmed.ncbi.nlm.nih.gov/31953488/"
"UniProtKB:P04637:5c652c3d","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","17719541","17719541","10.1016/j.cell.2007.06.013","Hzf Determines cell survival upon genotoxic stress by modulating p53 transactivation.","Cell","2007","Das S.;Raj L.;Zhao B.;Kimura Y.;Bernstein A.;Aaronson S.A.;Lee S.W.","https://pubmed.ncbi.nlm.nih.gov/17719541/"
"UniProtKB:P04637:301becb5","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","19509332","19509332","10.1073/pnas.0901864106","JFK, a Kelch domain-containing F-box protein, links the SCF complex to p53 regulation.","Proc. Natl. Acad. Sci. U.S.A.","2009","Sun L.;Shi L.;Li W.;Yu W.;Liang J.;Zhang H.;Yang X.;Wang Y.;Li R.;Yao X.;Yi X.;Shang Y.","https://pubmed.ncbi.nlm.nih.gov/19509332/"
"UniProtKB:P04637:3a4c6222","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","10644996","10644996","10.1038/sj.onc.1203250","p53 is involved in the p120E4F-mediated growth arrest.","Oncogene","2000","Sandy P.;Gostissa M.;Fogal V.;Cecco L.D.;Szalay K.;Rooney R.J.;Schneider C.;Del Sal G.","https://pubmed.ncbi.nlm.nih.gov/10644996/"
"UniProtKB:P04637:27346363","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000256","SAM","MobiDB-lite","","","","","","",""
"UniProtKB:P04637:44763689","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","15186775","15186775","10.1016/j.cell.2004.05.009","Ordered cooperative functions of PRMT1, p300, and CARM1 in transcriptional activation by p53.","Cell","2004","An W.;Kim J.;Roeder R.G.","https://pubmed.ncbi.nlm.nih.gov/15186775/"
"UniProtKB:P04637:3bc5c79c","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","31953488","31953488","10.1038/s41598-020-57521-w","Liquid-like droplet formation by tumor suppressor p53 induced by multivalent electrostatic interactions between two disordered domains.","Sci. Rep.","2020","Kamagata K.;Kanbayashi S.;Honda M.;Itoh Y.;Takahashi H.;Kameda T.;Nagatsugi F.;Takahashi S.","https://pubmed.ncbi.nlm.nih.gov/31953488/"
"UniProtKB:P04637:3bc5c79c","TP53","P04637","UniProtKB","P04637","feature_evidence","ECO:0000269","PubMed","36108750","36108750","10.1016/j.ijbiomac.2022.09.087","Phase separation of p53 induced by its unstructured basic region and prevented by oncogenic mutations in tetramerization domain.","Int. J. Biol. Macromol.","2022","Chen C.;Fu G.;Guo Q.;Xue S.;Luo S.Z.","https://pubmed.ncbi.nlm.nih.gov/36108750/"
