"source","source_record_id","protein","uniprot_accession","api_url","web_url","record_version","annotation_date","retrieved_at_utc","raw_response_file","notes"
"UniProtKB","Q9UJU2","LEF1","Q9UJU2","https://rest.uniprot.org/uniprotkb/Q9UJU2.json","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z","raw/uniprot_Q9UJU2.json","Reviewed UniProtKB feature records; feature-level evidence retained."
"InterPro","Q9UJU2","LEF1","Q9UJU2","https://www.ebi.ac.uk/interpro/api/entry/interpro/protein/uniprot/Q9UJU2/?page_size=200","https://www.ebi.ac.uk/interpro/protein/UniProt/Q9UJU2/","","","2026-09-17T19:53:22Z","raw/interpro_matches_Q9UJU2.json","Protein-to-InterPro match response."
"InterPro","IPR009071","LEF1","Q9UJU2","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR009071/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR009071/","","","2026-09-17T19:53:22Z","raw/interpro_entry_IPR009071.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR013558","LEF1","Q9UJU2","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR013558/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR013558/","","","2026-09-17T19:53:22Z","raw/interpro_entry_IPR013558.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR024940","LEF1","Q9UJU2","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR024940/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR024940/","","","2026-09-17T19:53:22Z","raw/interpro_entry_IPR024940.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR027397","LEF1","Q9UJU2","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR027397/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR027397/","","","2026-09-17T19:53:22Z","raw/interpro_entry_IPR027397.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR036910","LEF1","Q9UJU2","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR036910/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR036910/","","","2026-09-17T19:53:22Z","raw/interpro_entry_IPR036910.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"PDBe-KB/SIFTS","Q9UJU2:interfaces","LEF1","Q9UJU2","https://www.ebi.ac.uk/pdbe/graph-api/uniprot/interface_residues/Q9UJU2","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/Q9UJU2","","","2026-09-17T19:53:18Z","raw/pdbe_interfaces_Q9UJU2.json","Experimental interface residues mapped to UniProt coordinates by SIFTS; PDB IDs are retained as evidence."
"PDBe-KB/SIFTS","Q9UJU2:ligands","LEF1","Q9UJU2","https://www.ebi.ac.uk/pdbe/graph-api/uniprot/ligand_sites/Q9UJU2","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/Q9UJU2","","","2026-09-17T19:53:19Z","raw/pdbe_ligands_Q9UJU2.json","Experimental non-solvent ligand-contact residues mapped to UniProt coordinates by SIFTS; a drug cross-reference is retained but not inferred."
"ChEMBL","Q9UJU2","LEF1","Q9UJU2","https://www.ebi.ac.uk/chembl/api/data/target.json?target_components__accession=Q9UJU2&limit=100","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL3217392","","","2026-09-17T19:53:29Z","raw/chembl_targets_Q9UJU2.json","ChEMBL target and mechanism records are protein/complex-level context, not residue-level binding evidence. Related mechanism and molecule responses are cached separately."
"ChEMBL","Q9UJU2:mechanisms","LEF1","Q9UJU2","https://www.ebi.ac.uk/chembl/api/data/mechanism.json?target_chembl_id__in=CHEMBL3217392&limit=1000","https://www.ebi.ac.uk/chembl/","","","2026-09-17T19:53:30Z","raw/chembl_mechanisms_Q9UJU2.json","Drug-mechanism records for ChEMBL targets containing this accession."
