"protein","transcript","cluster_id","analysis_type","candidate_key","tree_sources","exon_orders","transcript_exon_ranks","exon_ids","exon_order_min","exon_order_max","n_exons","n_events","n_subjects","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint","p_hotspot_omnibus","n_unique_null_1d_diameters","n_unique_null_3d_diameters","null_1d_variable","null_3d_variable","compactness_testable","compactness_testability_reason","significant_1d","significant_3d","significant_any","hotspot_class","events_per_exon","subjects_per_exon","min_events_per_exon","min_subjects_per_exon","n_events_spanning_multiple_cluster_exons","n_subjects_spanning_multiple_cluster_exons","n_subjects_with_multiple_events_in_cluster","best_supported_subcluster_key","n_events_added_vs_best_subcluster","n_subjects_added_vs_best_subcluster","branch_adds_independent_subjects","recurrence_scope_used","best_recurrent_exon_order","best_recurrent_transcript_exon_rank","best_exon_p_subjects_raw","best_exon_p_subjects_scope_omnibus","best_exon_p_subjects_across_scopes","best_exon_p_subjects_omnibus","n_testable_recurrence_exons","n_significant_recurrent_exons","integrated_evidence_class","n_events_HOMDEL","n_subjects_HOMDEL","n_events_HETDEL","n_subjects_HETDEL","n_events_GAIN","n_subjects_GAIN","n_events_ALL_CNA","n_subjects_ALL_CNA"
"PTEN","ENST00000371953","HOMDEL_cluster_0001","HOMDEL","1;2;5","3D","1;2;5","1;2;5","ENSE00001156330;ENSE00001156351;ENSE00004011725",1,5,3,33,33,4,5.2305078957644,0.051792828685259,0.00796812749003984,0.099601593625498,0.00796812749003984,0.119521912350598,0.00796812749003984,0.00796812749003984,0.00796812749003984,3,3,TRUE,TRUE,TRUE,"",FALSE,TRUE,TRUE,"Nonlocal 3D-specific exon CNA hotspot","1:3;2:26;5:19","1:3;2:26;5:19",3,3,14,14,0,"2;5",1,1,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,3,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",33,33,82,77,5,4,120,102
"PTEN","ENST00000371953","HOMDEL_cluster_0002","HOMDEL","3;4","1D;3D","3;4","3;4","ENSE00001156344;ENSE00003595610",3,4,2,31,31,1,5.5594506259578,0.00398406374501992,0.0916334661354582,0.00398406374501992,0.203187250996016,0.00796812749003984,0.231075697211155,0.00796812749003984,0.00796812749003984,3,4,TRUE,TRUE,TRUE,"",TRUE,FALSE,TRUE,"Exon-order hotspot without independent 3D enrichment","3:25;4:19","3:25;4:19",19,19,13,13,0,"3",6,6,TRUE,"PARTIAL_LOCALIZABLE",3,3,0.0678642714570858,0.748502994011976,1,1,2,0,"Significant compact cluster without exon-level recurrence",31,31,73,71,3,3,107,95
"PTEN","ENST00000371953","HOMDEL_cluster_0003","HOMDEL","2;5","3D","2;5","2;5","ENSE00001156330;ENSE00001156351",2,5,2,32,32,3,4.48506255785825,0.0557768924302789,0.0119521912350598,0.131474103585657,0.0119521912350598,0.151394422310757,0.0119521912350598,0.0119521912350598,0.0119521912350598,3,4,TRUE,TRUE,TRUE,"",FALSE,TRUE,TRUE,"Nonlocal 3D-specific exon CNA hotspot","2:26;5:19","2:26;5:19",19,19,13,13,0,"2",6,6,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,2,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",32,32,76,73,3,3,111,97
"PTEN","ENST00000371953","HOMDEL_cluster_0004","HOMDEL","1;2;3;4","1D","1;2;3;4","1;2;3;4","ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00004011725",1,4,4,33,33,3,15.9159444173143,0.0159362549800797,0.051792828685259,0.0199203187250996,0.119521912350598,0.0199203187250996,0.119521912350598,0.0199203187250996,0.0199203187250996,3,3,TRUE,TRUE,TRUE,"",TRUE,FALSE,TRUE,"Exon-order hotspot without independent 3D enrichment","1:3;2:26;3:25;4:19","1:3;2:26;3:25;4:19",3,3,25,25,0,"3;4",2,2,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,4,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",33,33,83,77,5,4,121,102
"PTEN","ENST00000371953","HOMDEL_cluster_0005","HOMDEL","1;2;3;4;5","3D","1;2;3;4;5","1;2;3;4;5","ENSE00001156330;ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00004011725",1,5,5,33,33,4,15.9159444173143,0.051792828685259,0.051792828685259,0.099601593625498,0.119521912350598,0.119521912350598,0.119521912350598,0.119521912350598,0.119521912350598,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25;4:19;5:19","1:3;2:26;3:25;4:19;5:19",3,3,31,31,0,"1;2;3;4",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,5,1,"Recurrent exon(s) without significant multi-exon compactness",33,33,83,77,5,4,121,102
"PTEN","ENST00000371953","HOMDEL_cluster_0006","HOMDEL","1;2","1D","1;2","1;2","ENSE00001156351;ENSE00004011725",1,2,2,27,27,1,5.09284759901451,0.199203187250996,0.227091633466135,0.322709163346614,0.661354581673307,0.565737051792829,0.764940239043825,0.565737051792829,0.565737051792829,5,8,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26","1:3;2:26",3,3,2,2,0,"2",1,1,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.00199600798403194,0.00199600798403194,0.00399201596806387,0.00399201596806387,2,1,"Recurrent exon(s) without significant multi-exon compactness",27,27,62,61,3,2,92,89
"PTEN","ENST00000371953","HOMDEL_cluster_0007","HOMDEL","6;9","3D","6;9","6;9","ENSE00001156327;ENSE00001456541",6,9,2,15,15,3,4.77930080439185,0.374501992031873,0.330677290836653,0.848605577689243,0.888446215139442,0.956175298804781,0.928286852589641,0.928286852589641,0.928286852589641,4,5,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","6:14;9:15","6:14;9:15",14,14,14,14,0,"9",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,0.00399201596806387,0.031936127744511,0.063872255489022,0.063872255489022,2,0,"No significant recurrence or compactness",15,15,43,43,3,3,61,60
"PTEN","ENST00000371953","HOMDEL_cluster_0008","HOMDEL","7;8","1D;3D","7;8","7;8","ENSE00001156315;ENSE00003725338",7,8,2,14,14,1,4.50447228016122,0.370517928286853,0.362549800796813,0.848605577689243,0.948207171314741,0.956175298804781,0.956175298804781,0.956175298804781,0.956175298804781,4,5,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","7:14;8:14","7:14;8:14",14,14,14,14,0,"7",0,0,FALSE,"PARTIAL_LOCALIZABLE",8,8,0.674650698602794,1,1,1,2,0,"No significant recurrence or compactness",14,14,41,41,4,4,59,59
"PTEN","ENST00000371953","HOMDEL_cluster_0009","HOMDEL","6;7;8;9","3D","6;7;8;9","6;7;8;9","ENSE00001156315;ENSE00001156327;ENSE00001456541;ENSE00003725338",6,9,4,15,15,3,8.87616612257633,0.374501992031873,0.374501992031873,0.848605577689243,0.948207171314741,0.956175298804781,0.956175298804781,0.956175298804781,0.956175298804781,4,5,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","6:14;7:14;8:14;9:15","6:14;7:14;8:14;9:15",14,14,14,14,0,"7;8;9",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,0.00399201596806387,0.031936127744511,0.063872255489022,0.063872255489022,4,0,"No significant recurrence or compactness",15,15,43,43,4,4,62,61
"PTEN","ENST00000371953","HOMDEL_cluster_0010","HOMDEL","7;8;9","1D","7;8;9","7;8;9","ENSE00001156315;ENSE00001456541;ENSE00003725338",7,9,3,15,15,2,8.87616612257633,0.374501992031873,0.374501992031873,0.848605577689243,0.948207171314741,0.956175298804781,0.956175298804781,0.956175298804781,0.956175298804781,4,5,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","7:14;8:14;9:15","7:14;8:14;9:15",14,14,14,14,0,"9",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,0.00399201596806387,0.031936127744511,0.063872255489022,0.063872255489022,3,0,"No significant recurrence or compactness",15,15,41,41,4,4,60,59
