"protein","transcript","cluster_id","analysis_type","candidate_key","tree_sources","exon_orders","transcript_exon_ranks","exon_ids","exon_order_min","exon_order_max","n_exons","n_events","n_subjects","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint","p_hotspot_omnibus","n_unique_null_1d_diameters","n_unique_null_3d_diameters","null_1d_variable","null_3d_variable","compactness_testable","compactness_testability_reason","significant_1d","significant_3d","significant_any","hotspot_class","events_per_exon","subjects_per_exon","min_events_per_exon","min_subjects_per_exon","n_events_spanning_multiple_cluster_exons","n_subjects_spanning_multiple_cluster_exons","n_subjects_with_multiple_events_in_cluster","best_supported_subcluster_key","n_events_added_vs_best_subcluster","n_subjects_added_vs_best_subcluster","branch_adds_independent_subjects","recurrence_scope_used","best_recurrent_exon_order","best_recurrent_transcript_exon_rank","best_exon_p_subjects_raw","best_exon_p_subjects_scope_omnibus","best_exon_p_subjects_across_scopes","best_exon_p_subjects_omnibus","n_testable_recurrence_exons","n_significant_recurrent_exons","integrated_evidence_class","n_events_HOMDEL","n_subjects_HOMDEL","n_events_HETDEL","n_subjects_HETDEL","n_events_GAIN","n_subjects_GAIN","n_events_ALL_CNA","n_subjects_ALL_CNA"
"PTEN","ENST00000371953","HOMDEL_cluster_0001","HOMDEL","2;5","3D","2;5","2;5","ENSE00001156330;ENSE00001156351",2,5,2,32,32,3,4.48506255785825,0.230769230769231,0.0384615384615385,0.653846153846154,0.0769230769230769,0.846153846153846,0.0769230769230769,0.0769230769230769,0.0769230769230769,5,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","2:26;5:19","2:26;5:19",19,19,13,13,0,"2",6,6,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,2,1,"Recurrent exon(s) without significant multi-exon compactness",32,32,76,73,3,3,111,97
"PTEN","ENST00000371953","HOMDEL_cluster_0002","HOMDEL","1;2","1D","1;2","1;2","ENSE00001156351;ENSE00004011725",1,2,2,27,27,1,5.09284759901451,0.0384615384615385,0.192307692307692,0.0769230769230769,0.5,0.0769230769230769,0.615384615384615,0.0769230769230769,0.0769230769230769,4,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26","1:3;2:26",3,3,2,2,0,"2",1,1,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,2,1,"Recurrent exon(s) without significant multi-exon compactness",27,27,62,61,3,2,92,89
"PTEN","ENST00000371953","HOMDEL_cluster_0003","HOMDEL","1;2;3;4","1D","1;2;3;4","1;2;3;4","ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00004011725",1,4,4,33,33,3,15.9159444173143,0.0769230769230769,0.307692307692308,0.192307692307692,0.653846153846154,0.192307692307692,0.884615384615385,0.192307692307692,0.192307692307692,6,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25;4:19","1:3;2:26;3:25;4:19",3,3,25,25,0,"1;2;3",6,6,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,4,1,"Recurrent exon(s) without significant multi-exon compactness",33,33,83,77,5,4,121,102
"PTEN","ENST00000371953","HOMDEL_cluster_0004","HOMDEL","1;2;3;4;5","1D;3D","1;2;3;4;5","1;2;3;4;5","ENSE00001156330;ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00004011725",1,5,5,33,33,4,15.9159444173143,0.153846153846154,0.307692307692308,0.269230769230769,0.653846153846154,0.269230769230769,0.884615384615385,0.269230769230769,0.269230769230769,6,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25;4:19;5:19","1:3;2:26;3:25;4:19;5:19",3,3,31,31,0,"1;2;3;4",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,5,1,"Recurrent exon(s) without significant multi-exon compactness",33,33,83,77,5,4,121,102
"PTEN","ENST00000371953","HOMDEL_cluster_0005","HOMDEL","2;3;4;5","3D","2;3;4;5","2;3;4;5","ENSE00001156330;ENSE00001156344;ENSE00001156351;ENSE00003595610",2,5,4,32,32,3,9.17141210450375,0.230769230769231,0.192307692307692,0.653846153846154,0.5,0.846153846153846,0.615384615384615,0.615384615384615,0.615384615384615,5,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","2:26;3:25;4:19;5:19","2:26;3:25;4:19;5:19",19,19,31,31,0,"2;3;5",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,4,1,"Recurrent exon(s) without significant multi-exon compactness",32,32,77,73,3,3,112,97
"PTEN","ENST00000371953","HOMDEL_cluster_0006","HOMDEL","2;3;5","3D","2;3;5","2;3;5","ENSE00001156330;ENSE00001156344;ENSE00001156351",2,5,3,32,32,3,9.17141210450375,0.230769230769231,0.192307692307692,0.653846153846154,0.5,0.846153846153846,0.615384615384615,0.615384615384615,0.615384615384615,5,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","2:26;3:25;5:19","2:26;3:25;5:19",19,19,25,25,0,"2;5",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,3,1,"Recurrent exon(s) without significant multi-exon compactness",32,32,77,73,3,3,112,97
"PTEN","ENST00000371953","HOMDEL_cluster_0007","HOMDEL","1;2;3","1D","1;2;3","1;2;3","ENSE00001156344;ENSE00001156351;ENSE00004011725",1,3,3,27,27,2,9.17141210450375,0.192307692307692,0.423076923076923,0.346153846153846,0.961538461538462,0.615384615384615,0.961538461538462,0.615384615384615,0.615384615384615,4,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25","1:3;2:26;3:25",3,3,25,25,0,"1;2",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,3,1,"Recurrent exon(s) without significant multi-exon compactness",27,27,64,62,4,3,95,90
"PTEN","ENST00000371953","HOMDEL_cluster_0008","HOMDEL","1;2;3;4;5;6","1D","1;2;3;4;5;6","1;2;3;4;5;6","ENSE00001156327;ENSE00001156330;ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00004011725",1,6,6,34,33,5,15.9159444173143,0.307692307692308,0.307692307692308,0.807692307692308,0.653846153846154,0.884615384615385,0.884615384615385,0.884615384615385,0.884615384615385,6,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25;4:19;5:19;6:14","1:3;2:26;3:25;4:19;5:19;6:14",3,3,31,31,1,"1;2;3;4;5",1,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,6,1,"Recurrent exon(s) without significant multi-exon compactness",34,33,88,81,6,5,128,103
"PTEN","ENST00000371953","HOMDEL_cluster_0009","HOMDEL","7;8","3D","7;8","7;8","ENSE00001156315;ENSE00003725338",7,8,2,14,14,1,4.50447228016122,0.461538461538462,0.461538461538462,1,1,1,1,1,1,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","7:14;8:14","7:14;8:14",14,14,14,14,0,"7",0,0,FALSE,"PARTIAL_LOCALIZABLE",8,8,0.607843137254902,1,1,1,2,0,"No significant recurrence or compactness",14,14,41,41,4,4,59,59
"PTEN","ENST00000371953","HOMDEL_cluster_0010","HOMDEL","6;7;8","3D","6;7;8","6;7;8","ENSE00001156315;ENSE00001156327;ENSE00003725338",6,8,3,14,14,2,5.09514984480231,0.461538461538462,0.461538461538462,1,1,1,1,1,1,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","6:14;7:14;8:14","6:14;7:14;8:14",14,14,14,14,0,"7;8",0,0,FALSE,"PARTIAL_LOCALIZABLE",8,8,0.607843137254902,1,1,1,3,0,"No significant recurrence or compactness",14,14,43,43,4,4,61,61
"PTEN","ENST00000371953","HOMDEL_cluster_0011","HOMDEL","6;7;8;9","3D","6;7;8;9","6;7;8;9","ENSE00001156315;ENSE00001156327;ENSE00001456541;ENSE00003725338",6,9,4,15,15,3,8.87616612257633,0.461538461538462,0.461538461538462,1,1,1,1,1,1,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","6:14;7:14;8:14;9:15","6:14;7:14;8:14;9:15",14,14,14,14,0,"9",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,4,1,"Recurrent exon(s) without significant multi-exon compactness",15,15,43,43,4,4,62,61
"PTEN","ENST00000371953","HOMDEL_cluster_0012","HOMDEL","1;2;3;4;5;6;7","1D","1;2;3;4;5;6;7","1;2;3;4;5;6;7","ENSE00001156327;ENSE00001156330;ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00003725338;ENSE00004011725",1,7,7,34,33,6,28.5615062085365,0.5,0.692307692307692,1,1,1,1,1,1,6,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25;4:19;5:19;6:14;7:14","1:3;2:26;3:25;4:19;5:19;6:14;7:14",3,3,32,31,1,"1;2;3;4;5;6",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,7,1,"Recurrent exon(s) without significant multi-exon compactness",34,33,88,81,7,6,129,104
"PTEN","ENST00000371953","HOMDEL_cluster_0013","HOMDEL","1;2;3;4;5;6;7;8","1D","1;2;3;4;5;6;7;8","1;2;3;4;5;6;7;8","ENSE00001156315;ENSE00001156327;ENSE00001156330;ENSE00001156344;ENSE00001156351;ENSE00003595610;ENSE00003725338;ENSE00004011725",1,8,8,34,33,7,28.5615062085365,0.692307692307692,0.692307692307692,1,1,1,1,1,1,6,4,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25;4:19;5:19;6:14;7:14;8:14","1:3;2:26;3:25;4:19;5:19;6:14;7:14;8:14",3,3,32,31,1,"1;2;3;4;5;6;7",0,0,FALSE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,8,1,"Recurrent exon(s) without significant multi-exon compactness",34,33,88,81,7,6,129,104
"PTEN","ENST00000371953","HOMDEL_cluster_0014","HOMDEL","1;2;3;4;5;6;7;8;9","1D;3D","1;2;3;4;5;6;7;8;9","1;2;3;4;5;6;7;8;9","ENSE00001156315;ENSE00001156327;ENSE00001156330;ENSE00001156344;ENSE00001156351;ENSE00001456541;ENSE00003595610;ENSE00003725338;ENSE00004011725",1,9,9,35,34,8,28.5615062085365,1,1,1,1,1,1,1,1,5,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:3;2:26;3:25;4:19;5:19;6:14;7:14;8:14;9:15","1:3;2:26;3:25;4:19;5:19;6:14;7:14;8:14;9:15",3,3,32,31,1,"1;2;3;4;5;6;7;8",1,1,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,9,2,"Recurrent exon(s) without significant multi-exon compactness",35,34,88,81,7,6,130,104
"PTEN","ENST00000371953","HOMDEL_cluster_0015","HOMDEL","1","1D;3D","1","1","ENSE00004011725",1,1,1,3,3,0,0,,,,,,,,,1,1,FALSE,FALSE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","1:3","1:3",3,3,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",1,1,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",3,3,18,18,2,2,23,23
"PTEN","ENST00000371953","HOMDEL_cluster_0016","HOMDEL","2","1D;3D","2","2","ENSE00001156351",2,2,1,26,26,0,0,,,,,,,,,3,5,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","2:26","2:26",26,26,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",2,2,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0392156862745098,1,1,"Recurrent exon(s); multi-exon compactness not testable",26,26,56,56,1,1,83,83
"PTEN","ENST00000371953","HOMDEL_cluster_0017","HOMDEL","3","1D;3D","3","3","ENSE00001156344",3,3,1,25,25,0,0,,,,,,,,,4,4,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","3:25","3:25",25,25,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",3,3,0.117647058823529,0.843137254901961,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",25,25,54,54,2,2,81,81
"PTEN","ENST00000371953","HOMDEL_cluster_0018","HOMDEL","4","1D;3D","4","4","ENSE00003595610",4,4,1,19,19,0,0,,,,,,,,,4,4,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","4:19","4:19",19,19,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",4,4,0.941176470588235,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",19,19,56,56,3,3,78,78
"PTEN","ENST00000371953","HOMDEL_cluster_0019","HOMDEL","5","1D;3D","5","5","ENSE00001156330",5,5,1,19,19,0,0,,,,,,,,,4,4,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","5:19","5:19",19,19,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",5,5,0.901960784313726,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",19,19,56,56,3,3,78,78
"PTEN","ENST00000371953","HOMDEL_cluster_0020","HOMDEL","6","1D;3D","6","6","ENSE00001156327",6,6,1,14,14,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","6:14","6:14",14,14,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",6,6,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",14,14,43,43,3,3,60,60
"PTEN","ENST00000371953","HOMDEL_cluster_0021","HOMDEL","7","1D;3D","7","7","ENSE00003725338",7,7,1,14,14,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","7:14","7:14",14,14,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",7,7,0.96078431372549,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",14,14,41,41,4,4,59,59
"PTEN","ENST00000371953","HOMDEL_cluster_0022","HOMDEL","8","1D;3D","8","8","ENSE00001156315",8,8,1,14,14,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","8:14","8:14",14,14,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",8,8,0.607843137254902,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",14,14,39,39,3,3,56,56
