"protein","transcript","cluster_id","analysis_type","candidate_key","tree_sources","exon_orders","transcript_exon_ranks","exon_ids","exon_order_min","exon_order_max","n_exons","n_events","n_subjects","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint","p_hotspot_omnibus","n_unique_null_1d_diameters","n_unique_null_3d_diameters","null_1d_variable","null_3d_variable","compactness_testable","compactness_testability_reason","significant_1d","significant_3d","significant_any","hotspot_class","events_per_exon","subjects_per_exon","min_events_per_exon","min_subjects_per_exon","n_events_spanning_multiple_cluster_exons","n_subjects_spanning_multiple_cluster_exons","n_subjects_with_multiple_events_in_cluster","best_supported_subcluster_key","n_events_added_vs_best_subcluster","n_subjects_added_vs_best_subcluster","branch_adds_independent_subjects","recurrence_scope_used","best_recurrent_exon_order","best_recurrent_transcript_exon_rank","best_exon_p_subjects_raw","best_exon_p_subjects_scope_omnibus","best_exon_p_subjects_across_scopes","best_exon_p_subjects_omnibus","n_testable_recurrence_exons","n_significant_recurrent_exons","integrated_evidence_class","n_events_HETDEL","n_subjects_HETDEL","n_events_HOMDEL","n_subjects_HOMDEL","n_events_ALL_CNA","n_subjects_ALL_CNA"
"LEF1","ENST00000265165","HETDEL_cluster_0001","HETDEL","3;7","3D","3;7","3;7","ENSE00003478404;ENSE00003515141",3,7,2,119,119,4,17.9481566370832,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,2,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","3:110;7:23","3:110;7:23",23,23,14,14,0,"3",9,9,TRUE,"PARTIAL_LOCALIZABLE",3,3,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,2,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",119,119,30,30,149,142
"LEF1","ENST00000265165","HETDEL_cluster_0002","HETDEL","1;2","1D","1;2","1;2","ENSE00001136349;ENSE00003638064",1,2,2,113,113,1,22.9066951093047,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,2,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","1:25;2:108","1:25;2:108",25,25,20,20,0,"2",5,5,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,2,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",113,113,30,30,143,138
"LEF1","ENST00000265165","HETDEL_cluster_0003","HETDEL","3;4","1D","3;4","3;4","ENSE00003515141;ENSE00003558404",3,4,2,121,121,1,25.5430515083498,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,2,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","3:110;4:39","3:110;4:39",39,39,28,28,0,"3",11,11,TRUE,"PARTIAL_LOCALIZABLE",3,3,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,2,1,"Recurrent exon(s) in a significant 1D/3D compact cluster",121,121,30,30,151,142
"LEF1","ENST00000265165","HETDEL_cluster_0004","HETDEL","2;3;7","3D","2;3;7","2;3;7","ENSE00003478404;ENSE00003515141;ENSE00003638064",2,7,3,121,120,5,34.0309003984641,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,0.00199600798403194,2,2,TRUE,TRUE,TRUE,"",TRUE,TRUE,TRUE,"Exon-local CNA hotspot also compact in structure","2:108;3:110;7:23","2:108;3:110;7:23",23,23,107,107,1,"3;7",2,1,TRUE,"PARTIAL_LOCALIZABLE",2,2,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,3,2,"Recurrent exon(s) in a significant 1D/3D compact cluster",121,120,30,30,151,143
"LEF1","ENST00000265165","HETDEL_cluster_0005","HETDEL","8;9","3D","8;9","8;9","ENSE00003604670;ENSE00003651348",8,9,2,22,22,1,5.03891725778913,0.0838323353293413,0.0838323353293413,0.261477045908184,0.31936127744511,0.31936127744511,0.31936127744511,0.31936127744511,0.31936127744511,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","8:22;9:17","8:22;9:17",17,17,17,17,0,"8",0,0,FALSE,"PARTIAL_LOCALIZABLE",8,8,1,1,1,1,2,0,"No significant recurrence or compactness",22,22,1,1,23,23
"LEF1","ENST00000265165","HETDEL_cluster_0006","HETDEL","7;8","1D","7;8","7;8","ENSE00003478404;ENSE00003604670",7,8,2,23,23,1,21.8421784038182,0.0858283433133733,0.0858283433133733,0.307385229540918,0.365269461077844,0.365269461077844,0.365269461077844,0.365269461077844,0.365269461077844,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","7:23;8:22","7:23;8:22",22,22,22,22,0,"7",0,0,FALSE,"PARTIAL_LOCALIZABLE",7,7,1,1,1,1,2,0,"No significant recurrence or compactness",23,23,1,1,24,24
"LEF1","ENST00000265165","HETDEL_cluster_0007","HETDEL","6;10","3D","6;10","6;10","ENSE00003468993;ENSE00003530344",6,10,2,30,30,4,17.4842839709602,0.117764471057884,0.115768463073852,0.489021956087824,0.548902195608782,0.552894211576846,0.548902195608782,0.548902195608782,0.548902195608782,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","6:30;10:15","6:30;10:15",15,15,15,15,0,"6",0,0,FALSE,"PARTIAL_LOCALIZABLE",6,6,1,1,1,1,2,0,"No significant recurrence or compactness",30,30,2,2,32,32
"LEF1","ENST00000265165","HETDEL_cluster_0008","HETDEL","9;10","1D","9;10","9;10","ENSE00003530344;ENSE00003651348",9,10,2,17,17,1,18.5793112780779,0.137724550898204,0.137724550898204,0.588822355289421,0.644710578842315,0.644710578842315,0.644710578842315,0.644710578842315,0.644710578842315,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","9:17;10:15","9:17;10:15",15,15,15,15,0,"9",0,0,FALSE,"PARTIAL_LOCALIZABLE",9,9,1,1,1,1,2,0,"No significant recurrence or compactness",17,17,1,1,18,18
"LEF1","ENST00000265165","HETDEL_cluster_0009","HETDEL","9;10;11","1D","9;10;11","9;10;11","ENSE00003510092;ENSE00003530344;ENSE00003651348",9,11,3,17,17,2,25.5907581489115,0.137724550898204,0.137724550898204,0.588822355289421,0.644710578842315,0.644710578842315,0.644710578842315,0.644710578842315,0.644710578842315,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","9:17;10:15;11:15","9:17;10:15;11:15",15,15,15,15,0,"9;10",0,0,FALSE,"PARTIAL_LOCALIZABLE",11,11,0.434565434565435,1,1,1,3,0,"No significant recurrence or compactness",17,17,1,1,18,18
"LEF1","ENST00000265165","HETDEL_cluster_0010","HETDEL","5;6;7;8","1D","5;6;7;8","5;6;7;8","ENSE00003468993;ENSE00003478404;ENSE00003604670;ENSE00003663409",5,8,4,35,35,3,59.5255826879243,0.211576846307385,0.211576846307385,0.830339321357285,0.862275449101796,0.862275449101796,0.862275449101796,0.862275449101796,0.862275449101796,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","5:34;6:30;7:23;8:22","5:34;6:30;7:23;8:22",22,22,31,31,0,"5;6",1,1,TRUE,"PARTIAL_LOCALIZABLE",5,5,1,1,1,1,4,0,"No significant recurrence or compactness",35,35,2,2,37,36
