"feature_id","protein","uniprot_accession","source","source_record_id","annotation_class","feature_category","feature_subcategory","classification_rule","feature_type","feature_name","description","start","end","feature_segments","start_modifier","end_modifier","evidence_codes","evidence_sources","evidence_ids","cross_references","go_terms","source_url","source_record_version","source_annotation_date","retrieved_at_utc"
"InterPro:IPR029021:1:62347b5e","PTEN","P60484","InterPro","IPR029021","domain","domain","homologous_superfamily","grin3d_annotation_hierarchy_v1:homologous_superfamily","homologous_superfamily","Protein-tyrosine phosphatase-like","This superfamily represents a domain found in some protein-tyrosine phosphatases, including dual specificity phosphatases, myotubularin-like phosphatases [[cite:PUB00039007]], receptor-type tyrosine-protein phosphatases and non receptor-type tyrosine-protein phosphatases. This domain also shares structure similarity with the lipid phosphatase domain in tensin [[cite:PUB00070217]] and tensin like proteins, such as cyclin G-associated kinase (GAK) [[cite:PUB00070216]] and phoshphoinositide phosphatase PTEN (phosphatase and tensin homologue) [[cite:PUB00028325]]. Protein tyrosine (pTyr) phosphorylation is a common post-translational modification which can create novel recognition motifs for protein interactions and cellular localisation, affect protein stability, and regulate enzyme activity. Consequently, maintaining an appropriate level of protein tyrosine phosphorylation is essential for many cellular functions. Tyrosine-specific protein phosphatases (PTPase; [ec:3.1.3.48]) catalyse the removal of a phosphate group attached to a tyrosine residue, using a cysteinyl-phosphate enzyme intermediate. These enzymes are key regulatory components in signal transduction pathways (such as the MAP kinase pathway) and cell cycle control, and are important in the control of cell growth, proliferation, differentiation and transformation [[cite:PUB00035793], [cite:PUB00035794]]. The PTP superfamily can be divided into four subfamilies [[cite:PUB00035795]]: (1) pTyr-specific phosphatases (2) dual specificity phosphatases (dTyr and dSer/dThr) (3) Cdc25 phosphatases (dTyr and/or dThr) (4) LMW (low molecular weight) phosphatases Based on their cellular localisation, PTPases are also classified as: Receptor-like, which are transmembrane receptors that contain PTPase domains [[cite:PUB00035796]] Non-receptor (intracellular) PTPases [[cite:PUB00035797]] All PTPases carry the highly conserved active site motif C(X)5R (PTP signature motif), employ a common catalytic mechanism, and share a similar core structure made of a central parallel β-sheet with flanking α-helices containing a β-loop-α-loop that encompasses the PTP signature motif [[cite:PUB00035798]]. Functional diversity between PTPases is endowed by regulatory domains and subunits.",1,187,"1-187","EXACT","EXACT","database_signature_match","InterPro","IPR029021","cathgene3d:G3DSA:3.90.190.10;ssf:SSF52799","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR029021/","","","2026-09-17T05:13:34Z"
"InterPro:IPR051281:1:623500ed","PTEN","P60484","InterPro","IPR051281","domain","domain","protein_family","grin3d_annotation_hierarchy_v1:protein_family","family","Dual-specificity lipid and protein phosphatase","This family of proteins includes dual-specificity phosphatases with roles in dephosphorylating proteins phosphorylated on tyrosine, serine, and threonine residues. They also function as lipid phosphatases, targeting the D3 position of the inositol ring in various phosphatidylinositols, with a preference for phosphatidylinositol 3,4,5-trisphosphate. These activities are crucial for regulating signaling pathways such as the PI3K-AKT/PKB pathway, influencing cell cycle progression, cell survival, migration, and apoptosis. Some family members are involved in energy metabolism, synaptic function, and neurogenesis. They may also act as negative regulators of insulin signaling and glucose metabolism. The family's role is significant in various cellular processes, including development, chemotaxis, and cytoskeletal organization.",1,377,"1-377","EXACT","EXACT","database_signature_match","InterPro","IPR051281","panther:PTHR12305","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR051281/","","","2026-09-17T05:13:34Z"
"InterPro:IPR017361:1:6235405d","PTEN","P60484","InterPro","IPR017361","domain","domain","protein_family","grin3d_annotation_hierarchy_v1:protein_family","family","Bifunctional phosphatidylinositol trisphosphate phosphatase/dual specificity phosphatase PTEN","This entry represents the magnesium-dependent bifunctional phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase/dual-specificity protein phosphatase PTEN ([ec:3.1.3.67]; [ec:3.1.3.16]; [ec:3.1.3.48]), which possesses the following catalytic activities: Phosphatidylinositol 3,4,5-trisphosphate + H(2)O = phosphatidylinositol 4,5-bisphosphate + phosphate. A phosphoprotein + H(2)O = a protein + phosphate. Protein tyrosine phosphate + H(2)O = protein tyrosine + phosphate. This protein acts as a dual-specificity protein phosphatase, dephosphorylating tyrosine-, serine-and threonine-phosphorylated proteins [[cite:PUB00044639]]. It also acts as a lipid phosphatase, removing the phosphate in the D3 position of the inositol ring from phosphatidylinositol 3,4,5-trisphosphate, phosphatidylinositol 3,4-diphosphate, phosphatidylinositol 3-phosphate and inositol 1,3,4,5-tetrakisphosphate. The lipid phosphatase activity is critical for its tumour suppressor function [[cite:PUB00044640]]. PTEN antagonizes the PI3K-AKT/PKB signalling pathway by dephosphorylating phosphoinositides and thereby modulating cell cycle progression and cell survival. The unphosphorylated form of PTEN cooperates with AIP1 to suppress AKT1 activation. PTEN dephosphorylates tyrosine-phosphorylated focal adhesion kinase and inhibits cell migration and integrin-mediated cell spreading and focal adhesion form [[cite:PUB00044641]].",1,403,"1-403","EXACT","EXACT","database_signature_match","InterPro","IPR017361","pirsf:PIRSF038025","GO:0008285;GO:0016314;GO:0046856;GO:0051717;GO:0051800","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR017361/","","","2026-09-17T05:13:34Z"
"UniProtKB:P60484:16de2959","PTEN","P60484","UniProtKB","P60484","modification","ptm","acetylation","grin3d_annotation_hierarchy_v1:acetylation","Modified residue","N-acetylthreonine","N-acetylthreonine",2,2,"2-2","EXACT","EXACT","ECO:0007744","PubMed","22814378","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"UniProtKB:P60484:3d2f3779","PTEN","P60484","UniProtKB","P60484","modification","ptm","ubiquitination","grin3d_annotation_hierarchy_v1:ubiquitination","Cross-link","Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)","Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)",13,13,"13-13","EXACT","EXACT","ECO:0000269","PubMed","18716620","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"InterPro:IPR029023:1:3b3012c3","PTEN","P60484","InterPro","IPR029023","domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain","domain","Tensin-type phosphatase domain","Tensins constitute a eukaryotic family of lipid phosphatases that are defined by the presence of two adjacent domains: a lipid phosphatase domain and a C2-like domain. The tensin-type C2 lacks the canonical Ca(2+) ligands found in classical C2 domains, and in this respect it is similar to the C2 domains of PKC-type [[cite:PUB00033631], [cite:PUB00033632]]. The tensin-type C2 domain can bind phospholipid membranes in a Ca(2+) independent manner [[cite:PUB00028325]]. In the tumour suppressor protein PTEN, the best-characterised member of the family, the lipid phosphatase domain was shown to specifically dephosphorylate the D3 position of the inositol ring of the lipid second messenger, phosphatidylinositol-3,4,5-triphosphate (PIP3). The lipid phosphatase domain contains the signature motif HCXXGXXR present in the active sites of protein tyrosine phosphatases (PTPs) and dual specificity phosphatases (DSPs). Furthermore, two invariant lysines are found only in the tensin-type phosphatase motif (HCKXGKXR) and are suspected to interact with the phosphate group at position D1 and D5 of the inositol ring [[cite:PUB00033631], [cite:PUB00028325]]. The crystal structure of the PTEN tumour suppressor has been solved [[cite:PUB00028325]]. The lipid phosphatase domain has a structure similar to the dual specificity phosphatase. However, PTEN has a larger active site pocket that could be important to accommodate PI(3,4,5)P3. The tensin-type C2 domain has a structure similar to the classical C2 domain that mediates the Ca2+-dependent membrane recruitment of several signalling proteins. However the tensin-type C2 domain lacks two of the three conserved loops that bind Ca2+. Proteins known to contain a phosphatase and a C2 tensin-type domain are listed below: Tensin, a focal-adhesion molecule that binds to actin filaments. It may be involved in cell migration, cartilage development and in linking signal transduction pathways to the cytoskeleton. Phosphatase and tensin homologue deleted on chromosome 10 protein (PTEN). It antagonises PI 3-kinase signalling by dephosphorylating the 3-position of the inositol ring of PI(3,4,5)P3 and thus inactivates downstream signalling. It plays major roles both during development and in the adult to control cell size, growth, and survival. Auxilin. It binds clathrin heavy chain and promotes its assembly into regular cages. Cyclin G-associated kinase, or auxilin-2. It is a potential regulator of clathrin-mediated membrane trafficking. PTEN homologues in fungi have the tensin phosphatase domain, but they lack the C2 domain. This entry represents the phosphatase domain.",14,185,"14-185","EXACT","EXACT","database_signature_match","InterPro","IPR029023","profile:PS51181","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR029023/","","","2026-09-17T05:13:34Z"
"UniProtKB:P60484:4d1da042","PTEN","P60484","UniProtKB","P60484","domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain","Domain","Phosphatase tensin-type","Phosphatase tensin-type",14,185,"14-185","EXACT","EXACT","ECO:0000255","PROSITE-ProRule","PRU00590","","","https://www.uniprot.org/uniprotkb/P60484/entry","226","2026-09-02","2026-09-17T05:13:34Z"
"InterPro:IPR003595:1:2526a7f5","PTEN","P60484","InterPro","IPR003595","domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain","domain","Protein-tyrosine phosphatase, catalytic","This entry represents the PTP-signature motif that characterises the catalytic site, and which encompasses only part of the PTPase domain structure. Protein tyrosine (pTyr) phosphorylation is a common post-translational modification which can create novel recognition motifs for protein interactions and cellular localisation, affect protein stability, and regulate enzyme activity. Consequently, maintaining an appropriate level of protein tyrosine phosphorylation is essential for many cellular functions. Tyrosine-specific protein phosphatases (PTPase; [ec:3.1.3.48]) catalyse the removal of a phosphate group attached to a tyrosine residue, using a cysteinyl-phosphate enzyme intermediate. These enzymes are key regulatory components in signal transduction pathways (such as the MAP kinase pathway) and cell cycle control, and are important in the control of cell growth, proliferation, differentiation and transformation [[cite:PUB00035793], [cite:PUB00035794]]. The PTP superfamily can be divided into four subfamilies [[cite:PUB00035795]]: (1) pTyr-specific phosphatases (2) dual specificity phosphatases (dTyr and dSer/dThr) (3) Cdc25 phosphatases (dTyr and/or dThr) (4) LMW (low molecular weight) phosphatases Based on their cellular localisation, PTPases are also classified as: Receptor-like, which are transmembrane receptors that contain PTPase domains [[cite:PUB00035796]] Non-receptor (intracellular) PTPases [[cite:PUB00035797]] All PTPases carry the highly conserved active site motif C(X)5R (PTP signature motif), employ a common catalytic mechanism, and share a similar core structure made of a central parallel β-sheet with flanking α-helices containing a β-loop-α-loop that encompasses the PTP signature motif [[cite:PUB00035798]]. Functional diversity between PTPases is endowed by regulatory domains and subunits.",23,183,"23-183","EXACT","EXACT","database_signature_match","InterPro","IPR003595","smart:SM00404","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR003595/","","","2026-09-17T05:13:34Z"
"InterPro:IPR045101:1:36b45e44","PTEN","P60484","InterPro","IPR045101","domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain","domain","PTEN, phosphatase domain","This entry represents the phosphatase domain found in PTEN, which is a magnesium-dependent bifunctional phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase/dual-specificity protein phosphatase PTEN ([ec:3.1.3.67]; [ec:3.1.3.16]; [ec:3.1.3.48]), which possesses the following catalytic activities: Phosphatidylinositol 3,4,5-trisphosphate + H(2)O = phosphatidylinositol 4,5-bisphosphate + phosphate. A phosphoprotein + H(2)O = a protein + phosphate. Protein tyrosine phosphate + H(2)O = protein tyrosine + phosphate. This protein acts as a dual-specificity protein phosphatase, dephosphorylating tyrosine-, serine- and threonine-phosphorylated proteins [[cite:PUB00044639]]. It also acts as a lipid phosphatase, removing the phosphate in the D3 position of the inositol ring from phosphatidylinositol 3,4,5-trisphosphate, phosphatidylinositol 3,4-diphosphate, phosphatidylinositol 3-phosphate and inositol 1,3,4,5-tetrakisphosphate. The lipid phosphatase activity is critical for its tumour suppressor function [[cite:PUB00044640]]. PTEN antagonizes the PI3K-AKT/PKB signalling pathway by dephosphorylating phosphoinositides and thereby modulating cell cycle progression and cell survival. The unphosphorylated form of PTEN cooperates with AIP1 to suppress AKT1 activation. PTEN dephosphorylates tyrosine-phosphorylated focal adhesion kinase and inhibits cell migration and integrin-mediated cell spreading and focal adhesion form [[cite:PUB00044641]].",24,181,"24-181","EXACT","EXACT","database_signature_match","InterPro","IPR045101","cdd:cd14509","GO:0016791","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR045101/","","","2026-09-17T05:13:34Z"
"PDBe-KB:ligand:131710d1","PTEN","P60484","PDBe-KB/SIFTS","PO4","site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site","experimental ligand contact","Contact with PHOSPHATE ION (PO4)","UniProt-indexed protein residues contacting a non-solvent ligand in a PDB structure.",73,332,"73-73;74-74;75-75;332-332","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","7JUK;7JVX","PDB-CCD:PO4","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P60484","","","2026-09-17T05:13:46Z"
